protein_id,structural_novelty
JAAYCF010000240.1_1,0.29710656
CACXDF010000011.1_11,0.2746044
JAFGOL010000244.1_3,0.33222058
DRXH01000036.1_6,0.3213095
JAAYZI010000033.1_1,0.31239086
QZKI01000123.1_15,0.36885303
KI543207.1_1,0.31062275
JACRAC010000059.1_8,0.28739873
JAADIA010000093.1_1,0.35416248
JABMQX010000731.1_1,0.30446452
JAFGJP010000263.1_9,0.3181737
JAFGEX010000051.1_16,0.27850744
JAFGAQ010000443.1_4,0.32924333
WQSZ01000044.1_17,0.2626696
DTOT01000108.1_7,0.26208144
JAGWYZ010000382.1_1,0.33012262
JAFGEX010000086.1_16,0.2885375
OMZR01000025.1_24,0.27632144
JAADIA010000060.1_1,0.3541625
QLTX01000117.1_1,0.3266593
JAAZOE010000532.1_1,0.30129212
PMWA01000048.1_5,0.29362732
JADGDI010000030.1_31,0.30175152
JAEEOX010000134.1_25,0.31558907
QZKI01000033.1_14,0.31472668
JAFYIM010000317.1_2,0.3154854
QZKI01000097.1_20,0.31472668
JAFGEV010000137.1_4,0.31000987
JACCUF010000149.1_1,0.29530507
NZ_JACJQY010000036.1_1,0.33676094
PKTT01000057.1_1,0.35330653
JABDLO010000032.1_1,0.33322376
JAAYKP010000028.1_1,0.31094328
CAIQVJ010000039.1_1,0.2749979
JAFGEX010000381.1_1,0.3118201
CAJUIP010000093.1_7,0.2573567
JAAZOE010000042.1_1,0.35052294
NZ_JADWYU010000130.1_1,0.26586682
WSZW01000013.1_1,0.3081581
QZKI01000143.1_1,0.3101645
DLTY01000024.1_1,0.28423274
JAFGWL010000046.1_11,0.28184038
QMNL01000197.1_4,0.30692548
JAGWYZ010000038.1_22,0.26694518
JAFGEX010000031.1_3,0.26378235
JAFYIM010000535.1_1,0.2664978
PWXJ01000156.1_1,0.31139076
JAGACY010000272.1_1,0.32097274
PEWQ01000155.1_6,0.3313923
QMNL01000002.1_23,0.24185984
JABFRY010000297.1_1,0.33100456
DSSB01000586.1_1,0.24812238
WJOT01000002.1_1,0.27341405
MHDQ01000128.1_28,0.33071768
URWG01000170.1_4,0.29225135
JABFGF010000017.1_1,0.27924174
CAIQVJ010000102.1_1,0.28829032
PDQT01000330.1_1,0.2772
JACPRG010000073.1_14,0.28027618
PFSX01000024.1_1,0.27507624
DITF01000168.1_9,0.36249465
JAAZOE010000518.1_1,0.31095386
MHDQ01000304.1_1,0.30576676
JAFGIT010000010.1_1,0.3017643
JAFSDM010000008.1_31,0.2680882
JAFGTC010000232.1_1,0.29202527
JAFGJP010000127.1_1,0.30665383
WJOT01000037.1_19,0.29489702
JACIXG010000045.1_1,0.31253353
JAFGAQ010000406.1_6,0.27514905
WALD01000010.1_1,0.36284536
LJUD01000298.1_5,0.2779065
WFTM01000035.1_2,0.28230554
MWBZ01000096.1_15,0.33971846
JAFGJP010000288.1_14,0.23973307
MNYW01000132.1_1,0.34139165
MGRR01000112.1_1,0.2688794
JAFGUZ010000209.1_1,0.25079003
ONXP01000054.1_7,0.35231262
CADBLV010000283.1_1,0.3209003
MNUP01000091.1_1,0.34423685
NZ_BNCD01000041.1_1,0.3449908
JAEEJP010000047.1_1,0.28659996
WFRF01000040.1_1,0.30895564
JABWBZ010000166.1_7,0.33593637
JAFGEV010000131.1_4,0.32121232
JAFUYQ010000020.1_1,0.33369985
JAHJDJ010000211.1_1,0.29824513
SYBY01000286.1_1,0.33274743
QLUP01000198.1_6,0.25003368
NZUQ01000043.1_1,0.3190508
CAJQMW010000125.1_5,0.28442335
JAAYKP010000167.1_3,0.27570376
DLMW01000023.1_17,0.23474784
SKQU01000185.1_1,0.27089965
JAFKJK010000003.1_1,0.26912642
WFTM01000206.1_1,0.27030796
DSUT01000089.1_6,0.25871086
JABDLO010000282.1_29,0.25669986
NZ_PVNS01000011.1_1,0.29004627
JAFYIM010000198.1_3,0.28105372
CAJFVT010000085.1_4,0.2593823
SKQU01000294.1_10,0.25215787
WAQS01000310.1_5,0.33924764
JAABRV010000017.1_1,0.2778724
DSWB01000685.1_1,0.27458948
JABWBZ010000095.1_1,0.33920202
PAYP01000009.1_1,0.31118703
JABWBZ010000222.1_6,0.29327098
WJOT01000050.1_1,0.27999458
SOJN01000044.1_6,0.32533985
AQRW01000054.1_1,0.32682252
PWGE01000145.1_4,0.34546334
PDQT01000307.1_10,0.3053158
CAIWTR010000410.1_6,0.26657337
QMTU01000211.1_3,0.32889265
JAFYIM010000026.1_8,0.3118931
DSCM01000100.1_1,0.29825696
WJOT01000130.1_1,0.27081794
NZ_LT985336.1_5,0.24841431
JAERTH010000122.1_20,0.25707525
QZKI01000124.1_1,0.29885823
JADHWT010000011.1_1,0.32805476
JAEEOX010000045.1_7,0.31769168
AWOA01000138.1_1,0.27105346
RFFQ01000017.1_4,0.2413579
DUMP01000088.1_6,0.32934707
LMZT01000168.1_5,0.2760051
QNEG01000012.1_9,0.34620732
NZ_FKIP01000616.1_10,0.28236115
JACRLM010000092.1_11,0.281295
JAAYCF010000412.1_1,0.26388887
JAFGIT010000124.1_6,0.30597755
JACPSX010000263.1_1,0.31652132
PWXJ01000115.1_12,0.33582044
JADJOY010000049.1_1,0.27601773
JAATVM010000117.1_4,0.29917586
PMZC01000341.1_4,0.301587
JACMRP010000286.1_1,0.24388202
JAFGEX010000347.1_14,0.33282924
DDWC01000250.1_7,0.26614866
SXND01000207.1_1,0.2527358
MFAF01000108.1_1,0.28836516
DSWB01000591.1_1,0.28915444
NZ_FKIP01000378.1_1,0.26820225
MVCR01000035.1_1,0.3153197
JAFAZD010000223.1_4,0.36349922
QHSL01000144.1_8,0.34590626
AQRW01000139.1_1,0.28190362
QNVD01000301.1_1,0.24705043
AQRW01000024.1_1,0.27069443
WLFD01000145.1_1,0.29811054
JAAYEQ010000038.1_25,0.25545752
CAIJMQ010000032.1_2,0.27098018
DITF01000270.1_7,0.29953963
PWNJ01000005.1_1,0.28484207
OMZR01000193.1_1,0.34389788
DUMP01000125.1_1,0.34471825
QJVW01000144.1_29,0.28548434
QLTX01000193.1_5,0.43779492
JAFGUZ010000007.1_1,0.27853304
JAADIC010000032.1_6,0.28037995
DNCN01000162.1_1,0.30914512
QGUP01000410.1_1,0.40482768
DHHE01000096.1_11,0.20932531
CAIVDM010000207.1_9,0.3038849
JACPHL010000104.1_16,0.28449416
DCAZ01000083.1_1,0.2631703
LJUD01000263.1_7,0.25961226
JACRAC010000027.1_8,0.2659615
SFNH01000056.1_1,0.30393714
AWOA01000026.1_1,0.25528568
JABMRT010000054.1_15,0.33715743
JAFCFP010000080.1_2,0.29252887
PWXJ01000167.1_6,0.3519636
SYBY01000221.1_7,0.28284782
QNDJ01000277.1_3,0.25374556
CAIWTR010000362.1_2,0.33218938
WSZW01000179.1_12,0.34296927
JACRMA010000016.1_1,0.3065746
JAFGEV010000385.1_1,0.29216486
SKQU01000138.1_1,0.23874664
CAJUHL010000036.1_18,0.24019065
DSWB01000279.1_1,0.28836012
PWNJ01000103.1_1,0.2749384
JWIH01000004.1_1,0.33871096
CAAETL010000300.1_1,0.30452788
CAISUK010000416.1_11,0.32413954
JACPSX010000096.1_1,0.32507187
PDQT01000170.1_1,0.32164615
JACRLM010000054.1_47,0.2773328
CACGSI010000047.1_1,0.26287666
JACRAC010000035.1_20,0.2659615
JAAYAK010000117.1_24,0.30983528
JAGACY010000478.1_4,0.256528
DSWB01000309.1_1,0.2681981
QGUP01000146.1_1,0.327402
JAFAZD010000377.1_1,0.40539798
JABFRY010000342.1_4,0.44617978
VBAP01000152.1_1,0.23632772
DSSU01000021.1_1,0.33695716
JAGCDY010000052.1_8,0.2552827
JAFGTL010000398.1_1,0.33031175
JAFGEV010000184.1_11,0.35380048
DLGL01000049.1_1,0.34419233
JAGYOC010000187.1_4,0.33101696
NYZA01000094.1_11,0.33513135
SLOM01000249.1_1,0.27315694
CAIVOB010000017.1_1,0.30758214
QNDR01000121.1_1,0.3245168
PWGE01000063.1_11,0.26683882
LIUI01000051.1_1,0.33857712
MWBZ01000218.1_1,0.33209047
SLOM01000189.1_9,0.26909724
JAFANK010000192.1_4,0.3311684
JACRLM010000036.1_17,0.2773328
JAFGAQ010000049.1_1,0.280124
JAFAZD010000057.1_7,0.2779501
JACCUF010000438.1_1,0.28123644
JAHJDO010000061.1_1,0.31345177
DRUY01000018.1_13,0.39399964
JAAYHG010000169.1_7,0.314266
PWGE01000155.1_1,0.3214929
MWCZ01000630.1_2,0.29580608
CAJKKX010000120.1_1,0.26484045
JAGACY010000381.1_1,0.26168212
JAFGEV010000201.1_5,0.3243909
JAAZOE010000535.1_2,0.2738878
JAGYOC010000042.1_3,0.30711257
NZ_FRCD01000020.1_103,0.25447997
RFHX01000142.1_1,0.2834643
DRTT01000070.1_1,0.26093173
JABMRT010000181.1_10,0.32182306
LJUI01000185.1_1,0.28717119
JAFMIT010000116.1_5,0.32027468
JAAYHG010000025.1_4,0.3290969
QMNL01000091.1_1,0.28847513
CAIQVJ010000110.1_1,0.2719507
JAAYKP010000139.1_1,0.32835165
NZ_JH378978.1_1,0.28305364
JACRJN010000074.1_18,0.3290918
WJLY01000227.1_19,0.29766908
BMST01000008.1_1,0.24593683
NZ_JADWYU010000186.1_1,0.3351062
DSSB01000429.1_1,0.2784787
CADBLV010000073.1_1,0.2536067
WJKZ01000106.1_13,0.3121633
DSUT01000152.1_8,0.23112836
JADGAT010000037.1_1,0.31310156
MWCD01000107.1_1,0.2582585
MVZB01000089.1_9,0.29731572
PAYP01000061.1_20,0.32689947
SYBY01000071.1_1,0.31514254
USJX01000072.1_16,0.30000004
NZ_UTHA01000080.1_1,0.27979955
PWFS01000005.1_1,0.29452008
NZ_KB908352.1_12,0.25161886
DJVC01000119.1_12,0.2707665
JACRLM010000008.1_38,0.27938983
MVZB01000065.1_10,0.20748954
JACPTH010000181.1_36,0.3364892
SFNH01000070.1_8,0.293044
JAHJDJ010000355.1_1,0.26297164
USJX01000044.1_21,0.3334654
NZ_CAJFNR010000075.1_9,0.32685706
WJKZ01000009.1_7,0.29669195
CAJFVT010000112.1_7,0.3513021
SHYX01000016.1_1,0.32652006
MWCZ01000585.1_1,0.2886966
CACXDF010000243.1_1,0.24522007
PAQS01000005.1_68,0.2576582
MVCR01000086.1_1,0.26835442
JAHIPN010000228.1_13,0.31748617
JACRLM010000101.1_1,0.27615848
PWGE01000126.1_11,0.3056238
PKWQ01000226.1_1,0.31765884
NYZA01000018.1_15,0.2795765
DSCM01000066.1_1,0.25006062
JAGOBX010000122.1_10,0.23374343
JACRLM010000046.1_27,0.27615848
JAAYHG010000059.1_4,0.34855956
JACRLM010000002.1_1,0.27615848
JAGALG010000106.1_12,0.28553396
DTOT01000008.1_1,0.3120261
JAFUYQ010000029.1_14,0.2280206
MGQK01000080.1_1,0.2906691
JAHIPN010000264.1_4,0.20502898
DCHV01000026.1_43,0.29379708
JAGXTL010000072.1_4,0.20905188
DRXT01000029.1_5,0.29669994
SYBY01000513.1_3,0.40280896
SHYX01000040.1_34,0.350983
JACRLM010000084.1_1,0.27615848
JAAYRV010000077.1_27,0.24797347
JAAYXC010000234.1_1,0.26218262
JAAYXC010000357.1_4,0.31101662
WAQR01000009.1_13,0.22273716
JAGALG010000015.1_3,0.3145923
NZ_PJIN01000002.1_472,0.26537433
DLYX01000417.1_4,0.25716576
CAIQVJ010000019.1_52,0.25250894
JABMQX010000834.1_1,0.27245682
LJUD01000151.1_4,0.29771444
NZ_JAGGOF010000015.1_2,0.26554686
NZ_CP060488.1_4846,0.22465482
JADGDI010000158.1_1,0.32599077
CAJUHL010000119.1_5,0.31816426
JAAYAK010000017.1_3,0.29586035
NZ_FRCD01000007.1_204,0.32265878
DIVR01000065.1_49,0.32296956
PNNP01000056.1_1,0.30139622
JAFYIM010000541.1_1,0.3797703
JADJYS010000014.1_102,0.29192144
PWFS01000182.1_6,0.33919996
CACZLA010000005.1_66,0.2798035
JAFYIZ010000026.1_102,0.32597032
JACPQY010000052.1_37,0.27707762
WSXW01000005.1_27,0.27086908
DSSU01000361.1_12,0.35827896
JABDHD010000071.1_5,0.32608342
DTOT01000044.1_3,0.30683035
JAEOSL010000018.1_17,0.326619
JACRLM010000021.1_1,0.2722737
CP002989.1_74,0.31954232
WJKZ01000119.1_6,0.29587695
JABWBZ010000031.1_12,0.22703227
NZ_JAAIPW010000015.1_54,0.27302036
QNEG01000321.1_1,0.30060098
NZ_JADWYU010000382.1_1,0.3566088
MNYI01000113.1_1,0.26796016
JACPSX010000289.1_1,0.33791667
CP002988.1_2457,0.36162385
MVZB01000378.1_4,0.33699673
PLDF01000251.1_8,0.28421807
QHUM01000059.1_1,0.31637612
JACIXQ010000110.1_1,0.3545848
DRXH01000151.1_1,0.32146725
NZ_FZMR01000002.1_42,0.26435864
JACQOV010000099.1_1,0.33473867
PLDF01000373.1_48,0.32359743
JAGXTL010000126.1_1,0.2783896
DBPU01000121.1_15,0.27953622
JAGOUY010000012.1_76,0.29584533
JAADHJ010000033.1_108,0.34458432
JACRLM010000042.1_4,0.2722737
JAGORV010000002.1_114,0.29396304
NZ_AWRU01000007.1_96,0.2691064
PMNA01000034.1_29,0.2941066
AQRW01000091.1_10,0.2800149
JAAYAK010000174.1_1,0.30681336
DSSB01000444.1_1,0.3082377
QIFF01000016.1_1,0.26850724
JAFYIM010000171.1_1,0.27026212
WALD01000062.1_5,0.28849703
JAFYIM010000197.1_1,0.31865487
JACRGW010000003.1_2,0.29184884
NZ_FKIP01001142.1_3,0.23786835
JAFTKO010000033.1_8,0.24263704
BDTG01000012.1_21,0.3115274
LJUD01000005.1_15,0.33910146
JACPRG010000146.1_18,0.2842255
PWOA01000048.1_1,0.30008423
NZ_KZ293963.1_259,0.19195487
PKTG01000103.1_1,0.2621923
VMTI01000166.1_9,0.21773091
MVCZ01000173.1_2,0.2261442
QLUP01000061.1_1,0.21998176
NZ_JADWYU010000146.1_1,0.35379213
JAFUHT010000024.1_33,0.24876042
JAADIC010000307.1_2,0.28383765
QZKI01000026.1_2,0.27472505
SOJN01000110.1_18,0.2987408
DRXH01000064.1_1,0.32133436
WVXK01000076.1_12,0.2884946
NZ_JADEKP010000016.1_2,0.27598542
WFTM01000057.1_13,0.24153289
MGQK01000040.1_34,0.2782436
CAIWRR010000180.1_4,0.31316692
KI543196.1_94,0.24911456
QLUP01000203.1_1,0.2467689
WTCB01000007.1_20,0.24861602
USJX01000037.1_4,0.26216936
WFRF01000220.1_6,0.30407763
DRUE01000153.1_5,0.29009277
PWHN01000092.1_9,0.29210702
NZ_AGJL01000057.1_8,0.30866614
QGUP01000477.1_5,0.26305097
NZ_RZMY01000003.1_478,0.20828013
VGIW01000020.1_1,0.2324728
WRMI01000053.1_21,0.22794051
WOZJ01000048.1_30,0.26239067
JABMRT010000163.1_1,0.251641
QMNL01000177.1_5,0.25677493
NZ_CP015455.1_1391,0.30132294
DREG01000385.1_3,0.28086096
NZ_CP060488.1_301,0.2990976
DIWJ01000044.1_1,0.2843582
CACYFZ010000024.1_20,0.35822985
WRBD01000021.1_6,0.28086495
CAIWTR010000164.1_1,0.31645197
PMWA01000092.1_5,0.34129247
DUMJ01000066.1_1,0.316871
NZ_KZ293963.1_3224,0.34242
JAFGEV010000438.1_1,0.36421466
OMZR01000166.1_1,0.25655755
SXND01000150.1_36,0.24335352
JAFGTL010000041.1_10,0.27750868
DUMP01000073.1_13,0.2502888
JAHDNF010000002.1_437,0.23249999
DCAZ01000141.1_51,0.28808174
SYBY01000143.1_26,0.22308083
WQSZ01000003.1_1,0.34703243
JABIXH010000245.1_6,0.24530771
MFAF01000041.1_8,0.3627278
USIB01000002.1_37,0.22736993
DHHE01000100.1_5,0.25846797
JAAYZI010000097.1_4,0.30623478
JAGCDY010000086.1_1,0.34855962
DRUE01000081.1_1,0.29669535
NZ_JAAIPW010000002.1_268,0.19526117
JACPUR010000001.1_25,0.27997673
DF820456.1_99,0.3314023
WTCB01000009.1_10,0.24407856
NZ_LT985326.1_48,0.26598042
CAISUK010000382.1_1,0.30472797
MGFH01000223.1_1,0.3244384
NZ_FKIP01000206.1_5,0.32739848
DJVG01000059.1_1,0.35511717
NZ_LBMK01000011.1_82,0.29247326
JAGACY010000093.1_4,0.27138892
JACCUF010000052.1_25,0.3135786
NZ_JAFVMG010000001.1_442,0.2964697
NZ_KZ293963.1_3348,0.25219685
MGQK01000026.1_9,0.33497447
JAGOEH010000279.1_1,0.2625429
PFND01000092.1_2,0.26403198
JACPTH010000571.1_2,0.26907015
JAFMIT010000073.1_8,0.30674696
NZ_JAFCMM010000006.1_366,0.34541917
NZ_AGJL01000034.1_25,0.2864148
QLUP01000065.1_1,0.29833615
CAJFVT010000222.1_1,0.30148682
NZ_JACJQY010000039.1_46,0.2842275
JACIXG010000040.1_32,0.22790499
JACRJN010000050.1_5,0.2834294
PMWA01000061.1_1,0.25593612
PWNJ01000258.1_1,0.31507197
DCHV01000055.1_19,0.27339858
PAQS01000011.1_1,0.24775377
DDWC01000212.1_1,0.32022795
LDXN01000030.1_1,0.23144081
PFSX01000047.1_4,0.25475314
NZ_LBMK01000001.1_563,0.258422
PLDF01000311.1_52,0.30946788
JAFKJK010000032.1_24,0.23958905
JADJYS010000028.1_26,0.26150495
NZ_CP021082.1_107,0.23231725
NYYY01000045.1_36,0.35934922
JAAZOE010000312.1_4,0.40216222
NZ_CP069127.1_5498,0.20838805
NZ_FZMR01000038.1_8,0.28464544
JABWCD010000008.1_75,0.23713525
JABDHD010000202.1_1,0.31332693
JAGXKI010000012.1_1,0.22854848
JADGAT010000237.1_3,0.34354025
JABWBZ010000295.1_1,0.37923107
DDGC01000001.1_1,0.2868792
JAGWXF010000018.1_32,0.29420927
JABFRY010000203.1_2,0.18440881
LIUI01000011.1_42,0.3359211
CACXDF010000267.1_1,0.28054097
NZ_FKIP01000675.1_9,0.2476398
NZ_JADWYU010000100.1_18,0.36109567
DSNN01000253.1_1,0.25297856
MVCZ01000091.1_8,0.33641368
NZ_PJIN01000004.1_257,0.22578028
NZ_JAGI01000002.1_2157,0.30317038
JACTNB010000032.1_42,0.23536786
NZ_WEZQ01000001.1_234,0.30490234
JABFRY010000100.1_9,0.25258237
QNDR01000049.1_11,0.29955763
WTCB01000007.1_1,0.28014845
NZ_FKIP01000924.1_1,0.27548018
JADGDI010000159.1_1,0.3161232
CACGHR010000016.1_23,0.3516214
NZ_CP015423.1_3532,0.28234902
WAQR01000181.1_1,0.23605147
NZ_PJIN01000001.1_470,0.2897001
JABMQX010000318.1_9,0.35435063
JAFGJP010000202.1_1,0.28873527
NZ_KB908320.1_267,0.28914857
DLYX01000104.1_1,0.27171114
CAIVOB010000017.1_5,0.26337564
NZ_CP060488.1_4089,0.3635622
WAQR01000097.1_3,0.27811432
JAFGAQ010000321.1_15,0.28840524
QNDJ01000332.1_1,0.23341115
JACRLM010000009.1_1,0.3217817
VBJS01000201.1_1,0.2847084
DRTT01000088.1_3,0.2704094
SFNH01000142.1_2,0.27559972
SFNH01000174.1_1,0.23218246
SFNH01000113.1_8,0.32370576
JAGOBX010000253.1_2,0.38027173
SXND01000045.1_7,0.30552232
NZ_NCSM01000039.1_5,0.300317
WJMB01000398.1_1,0.26531243
NZ_UTHA01000226.1_99,0.2756905
JACPAV010000004.1_26,0.24606064
QNEG01000270.1_4,0.26103804
NZ_FKIP01000254.1_11,0.24632752
SYBY01000479.1_8,0.28876626
JAGCPB010000039.1_1,0.2461232
MFGS01000047.1_13,0.24248245
JABWBZ010000387.1_1,0.25337774
PUNC01000191.1_1,0.24223375
NZ_LT985323.1_229,0.2931493
SLDX01000057.1_21,0.23890701
NZ_AGJL01000006.1_50,0.250336
DBPU01000021.1_1,0.26916495
JACQWU010000047.1_1,0.23854057
NZ_AP018227.1_1564,0.25132203
NZ_CP015423.1_1609,0.24120216
CAIWTR010000227.1_8,0.24183674
JAAYRV010000027.1_4,0.28774285
CAIVOB010000083.1_2,0.3143174
DSSB01000409.1_6,0.27133995
MVCR01000030.1_11,0.31711942
JACPAV010000019.1_27,0.2633821
PLDF01000190.1_4,0.26155835
JAFGKM010000042.1_1,0.3202322
DHHE01000150.1_1,0.2816028
QZKU01000104.1_2,0.21684246
SYBY01000461.1_6,0.22471654
CAIWRR010000206.1_1,0.36407
JAFGIT010000279.1_7,0.32325798
JAFGJP010000043.1_16,0.25043207
JAFGKQ010000263.1_1,0.270508
DDGC01000001.1_200,0.31755272
WFRF01000219.1_6,0.23774357
WGBT01000139.1_1,0.27136087
MNYI01000029.1_7,0.24065104
NZ_KB908325.1_88,0.33501947
SXND01000137.1_16,0.25863925
QMNL01000372.1_4,0.32818142
NZ_JADWYU010000090.1_34,0.25491786
JAFANK010000302.1_5,0.3441761
JAGYOC010000181.1_6,0.31314105
JACPQY010000021.1_17,0.26814604
JABMQX010000035.1_6,0.30945417
JAGACY010000242.1_5,0.22128198
WGBT01000010.1_10,0.2885225
JACQPJ010000048.1_12,0.27190265
QZKI01000093.1_19,0.3421637
JAFSWN010000148.1_6,0.25582734
JABDLO010000274.1_4,0.3133892
JAEOSL010000046.1_16,0.2405229
JABMQX010000784.1_8,0.23925737
CP002161.1_176,0.27586955
JAAYRV010000161.1_1,0.24497728
MWCZ01000024.1_11,0.3475545
JAAYKP010000027.1_1,0.20474668
DMSQ01000080.1_73,0.30710492
NC_014836.1_2501,0.2537238
JABWCP010000049.1_12,0.31864876
JACRLM010000014.1_1,0.31526095
NYYY01000044.1_1,0.25747874
JAHJDJ010000307.1_5,0.26132506
JACPRG010000123.1_29,0.21562377
QNDJ01000199.1_3,0.25838676
MFAF01000117.1_7,0.28745478
NZ_KZ293963.1_2473,0.19244966
DCUM01000219.1_25,0.31299248
PFSX01000043.1_3,0.253155
MFPR01000001.1_152,0.23127703
PKWQ01000226.1_9,0.29962412
NZ_FKIP01000357.1_1,0.26727384
DSWB01000365.1_13,0.3309497
VBJS01000045.1_2,0.31524363
NC_018649.1_2033,0.2508134
NZ_FRCD01000006.1_161,0.27216536
JACPWU010000046.1_1,0.22718975
PUNC01000077.1_3,0.29717284
WQSZ01000045.1_1,0.24661568
PBWH01000006.1_54,0.30338666
JADJOY010000027.1_69,0.22239783
SICP01000007.1_16,0.32644096
JAFGTL010000132.1_1,0.21935287
DMSQ01000021.1_11,0.25607735
NC_021031.1_2191,0.3235592
DRGV01000086.1_3,0.2623162
JWIH01000021.1_473,0.2845142
JABMQX010000315.1_1,0.20924518
SOJN01000143.1_3,0.28095657
NZ_CP060488.1_2712,0.31779277
PKWQ01000094.1_5,0.29863375
JABMQX010000839.1_3,0.2632437
CAIVGN010000179.1_14,0.23185305
SICP01000005.1_4,0.29024655
SBHG01000188.1_11,0.35322806
JABWCP010000032.1_24,0.34019846
DDWC01000014.1_16,0.28168765
JAFGBE010000162.1_1,0.21694522
JACPTH010000361.1_1,0.3316552
JACPAV010000016.1_100,0.25870916
WQSZ01000186.1_1,0.25366455
NZ_CP015423.1_1140,0.277538
WLFD01000195.1_1,0.24431184
JACTNB010000012.1_16,0.2738239
JAFGTC010000232.1_14,0.27685592
SFNH01000060.1_2,0.32042536
JAFSDM010000001.1_1,0.31960726
WJMB01000373.1_1,0.266116
CAJUHL010000105.1_4,0.2943753
NZ_CP069127.1_3956,0.26553765
JABWCD010000054.1_1,0.32932067
RFFQ01000133.1_17,0.2461505
WFPJ01000019.1_4,0.25686526
JACTNB010000001.1_13,0.2672966
MGPE01000002.1_149,0.21789253
JAFZBN010000015.1_403,0.28315753
JACRLM010000052.1_1,0.30772546
SKQU01000045.1_1,0.32914275
PFSX01000041.1_1,0.21966943
PEWQ01000044.1_1,0.2662131
NZ_LBMK01000007.1_114,0.29773918
SXND01000103.1_7,0.29836366
NZ_BDAU01000032.1_91,0.25859165
JACRPW010000002.1_1,0.27146238
PKWQ01000266.1_1,0.27320147
