genome_accession,protein_id,category,emb_row,role,is_positive,phylum,length_aa,pfam_family
GB_GCA_008080745.1,SHMX01000002.1_158,positive,161,query,True,Asgardarchaeota,124,
GB_GCA_008080745.1,SHMX01000002.1_467,positive,162,query,True,Asgardarchaeota,201,
GB_GCA_008080745.1,SHMX01000003.1_6,positive,163,query,True,Asgardarchaeota,164,
GB_GCA_008080745.1,SHMX01000003.1_38,positive,164,query,True,Asgardarchaeota,114,
GB_GCA_008080745.1,SHMX01000003.1_352,positive,165,query,True,Asgardarchaeota,230,
GB_GCA_008080745.1,SHMX01000003.1_472,positive,166,query,True,Asgardarchaeota,267,
GB_GCA_008080745.1,SHMX01000004.1_47,positive,167,query,True,Asgardarchaeota,154,
GB_GCA_008080745.1,SHMX01000004.1_327,positive,168,query,True,Asgardarchaeota,170,
GB_GCA_008080745.1,SHMX01000009.1_34,positive,169,query,True,Asgardarchaeota,269,
GB_GCA_009699205.1,WLOP01000001.1_151,positive,170,query,True,Actinobacteriota,219,
GB_GCA_009699205.1,WLOP01000005.1_127,positive,171,query,True,Actinobacteriota,130,
GB_GCA_009699205.1,WLOP01000005.1_146,positive,172,query,True,Actinobacteriota,515,
GB_GCA_009699205.1,WLOP01000008.1_40,positive,173,query,True,Actinobacteriota,140,
GB_GCA_011373345.1,DRXH01000053.1_5,positive,174,query,True,Thermoproteota,94,
GB_GCA_011373345.1,DRXH01000186.1_2,positive,175,query,True,Thermoproteota,208,
GB_GCA_011373345.1,DRXH01000146.1_4,positive,176,query,True,Thermoproteota,183,
GB_GCA_011373345.1,DRXH01000073.1_2,positive,177,query,True,Thermoproteota,330,
GB_GCA_011380495.1,DRXT01000026.1_16,positive,178,query,True,Micrarchaeota,327,
GB_GCA_011380495.1,DRXT01000027.1_4,positive,179,query,True,Micrarchaeota,167,
GB_GCA_013138765.1,WTCB01000078.1_8,positive,180,query,True,EX4484-52,203,
GB_GCA_013138765.1,WTCB01000078.1_11,positive,181,query,True,EX4484-52,221,
GB_GCA_013138765.1,WTCB01000078.1_21,positive,182,query,True,EX4484-52,130,
GB_GCA_013138765.1,WTCB01000105.1_7,positive,183,query,True,EX4484-52,411,
GB_GCA_013138765.1,WTCB01000083.1_7,positive,184,query,True,EX4484-52,193,
GB_GCA_013138765.1,WTCB01000008.1_5,positive,185,query,True,EX4484-52,679,
GB_GCA_013138765.1,WTCB01000080.1_4,positive,186,query,True,EX4484-52,118,
GB_GCA_013138765.1,WTCB01000125.1_11,positive,187,query,True,EX4484-52,438,
GB_GCA_013138765.1,WTCB01000052.1_2,positive,188,query,True,EX4484-52,176,
GB_GCA_013139905.1,WSZW01000108.1_1,positive,189,query,True,EX4484-52,277,
GB_GCA_013139905.1,WSZW01000155.1_5,positive,190,query,True,EX4484-52,214,
GB_GCA_013139905.1,WSZW01000013.1_5,positive,191,query,True,EX4484-52,191,
GB_GCA_013139905.1,WSZW01000093.1_4,positive,192,query,True,EX4484-52,97,
GB_GCA_013425335.1,JACCLG010000012.1_50,positive,193,query,True,Micrarchaeota,186,
GB_GCA_013425335.1,JACCLG010000050.1_63,positive,194,query,True,Micrarchaeota,205,
GB_GCA_014189675.1,DVAE01000026.1_29,positive,195,query,True,Undinarchaeota,192,
GB_GCA_014189675.1,DVAE01000003.1_2,positive,196,query,True,Undinarchaeota,572,
GB_GCA_014189675.1,DVAE01000035.1_9,positive,197,query,True,Undinarchaeota,55,
GB_GCA_014189675.1,DVAE01000001.1_39,positive,198,query,True,Undinarchaeota,147,
GB_GCA_014523495.1,JAATVM010000059.1_11,positive,199,query,True,Thermoproteota,214,
GB_GCA_014523495.1,JAATVM010000099.1_1,positive,200,query,True,Thermoproteota,142,
GB_GCA_014523495.1,JAATVM010000010.1_6,positive,201,query,True,Thermoproteota,138,
GB_GCA_014523495.1,JAATVM010000107.1_10,positive,202,query,True,Thermoproteota,357,
GB_GCA_014523495.1,JAATVM010000116.1_1,positive,203,query,True,Thermoproteota,378,
GB_GCA_014523495.1,JAATVM010000153.1_4,positive,204,query,True,Thermoproteota,58,
GB_GCA_014523495.1,JAATVM010000153.1_11,positive,205,query,True,Thermoproteota,56,
GB_GCA_014523495.1,JAATVM010000161.1_4,positive,206,query,True,Thermoproteota,37,
GB_GCA_014523495.1,JAATVM010000174.1_5,positive,207,query,True,Thermoproteota,132,
GB_GCA_014523495.1,JAATVM010000020.1_1,positive,208,query,True,Thermoproteota,279,
GB_GCA_014523495.1,JAATVM010000213.1_11,positive,209,query,True,Thermoproteota,488,
GB_GCA_014523495.1,JAATVM010000031.1_2,positive,210,query,True,Thermoproteota,160,
GB_GCA_015485525.1,WFTM01000033.1_6,positive,211,query,True,KSB1,108,
GB_GCA_015485525.1,WFTM01000045.1_8,positive,212,query,True,KSB1,57,
GB_GCA_015485525.1,WFTM01000124.1_3,positive,213,query,True,KSB1,339,
GB_GCA_015485525.1,WFTM01000193.1_5,positive,214,query,True,KSB1,344,
GB_GCA_015485525.1,WFTM01000226.1_7,positive,215,query,True,KSB1,772,
GB_GCA_015485525.1,WFTM01000226.1_17,positive,216,query,True,KSB1,435,
GB_GCA_015485525.1,WFTM01000281.1_7,positive,217,query,True,KSB1,298,
GB_GCA_015485525.1,WFTM01000303.1_2,positive,218,query,True,KSB1,234,
GB_GCA_015485525.1,WFTM01000370.1_3,positive,219,query,True,KSB1,188,
GB_GCA_015485525.1,WFTM01000393.1_2,positive,220,query,True,KSB1,231,
GB_GCA_015485525.1,WFTM01000479.1_12,positive,221,query,True,KSB1,563,
GB_GCA_015520115.1,WAQS01000026.1_8,positive,222,query,True,Halobacteriota,102,
GB_GCA_015520115.1,WAQS01000040.1_5,positive,223,query,True,Halobacteriota,139,
GB_GCA_015520115.1,WAQS01000176.1_1,positive,224,query,True,Halobacteriota,129,
GB_GCA_015520115.1,WAQS01000183.1_5,positive,225,query,True,Halobacteriota,246,
GB_GCA_015520115.1,WAQS01000183.1_7,positive,226,query,True,Halobacteriota,94,
GB_GCA_015520115.1,WAQS01000187.1_1,positive,227,query,True,Halobacteriota,40,
GB_GCA_015520115.1,WAQS01000192.1_4,positive,228,query,True,Halobacteriota,81,
GB_GCA_015520115.1,WAQS01000211.1_2,positive,229,query,True,Halobacteriota,311,
GB_GCA_015520115.1,WAQS01000218.1_5,positive,230,query,True,Halobacteriota,337,
GB_GCA_015520115.1,WAQS01000229.1_3,positive,231,query,True,Halobacteriota,211,
GB_GCA_015520115.1,WAQS01000295.1_9,positive,232,query,True,Halobacteriota,105,
GB_GCA_015520145.1,WAQR01000146.1_4,positive,233,query,True,Hydrothermarchaeota,363,
GB_GCA_015520145.1,WAQR01000170.1_10,positive,234,query,True,Hydrothermarchaeota,205,
GB_GCA_015520145.1,WAQR01000177.1_5,positive,235,query,True,Hydrothermarchaeota,222,
GB_GCA_015520145.1,WAQR01000192.1_1,positive,236,query,True,Hydrothermarchaeota,89,
GB_GCA_015520145.1,WAQR01000228.1_4,positive,237,query,True,Hydrothermarchaeota,224,
GB_GCA_015520145.1,WAQR01000248.1_1,positive,238,query,True,Hydrothermarchaeota,330,
GB_GCA_015522495.1,WAMD01000032.1_5,positive,239,query,True,B1Sed10-29,202,
GB_GCA_015522495.1,WAMD01000032.1_16,positive,240,query,True,B1Sed10-29,207,
GB_GCA_015523055.1,WALD01000065.1_2,positive,241,query,True,Altiarchaeota,205,
GB_GCA_015523055.1,WALD01000094.1_5,positive,242,query,True,Altiarchaeota,177,
GB_GCA_015523055.1,WALD01000101.1_14,positive,243,query,True,Altiarchaeota,180,
GB_GCA_016213555.1,JACRAC010000043.1_5,positive,244,query,True,Aenigmatarchaeota,215,
GB_GCA_016213555.1,JACRAC010000060.1_7,positive,245,query,True,Aenigmatarchaeota,212,
GB_GCA_016281925.1,JAEEJP010000118.1_3,positive,246,query,True,Thermoplasmatota,118,
GB_GCA_016281925.1,JAEEJP010000023.1_22,positive,247,query,True,Thermoplasmatota,152,
GB_GCA_016281925.1,JAEEJP010000005.1_1,positive,248,query,True,Thermoplasmatota,227,
GB_GCA_016281925.1,JAEEJP010000033.1_1,positive,249,query,True,Thermoplasmatota,111,
GB_GCA_016281925.1,JAEEJP010000034.1_27,positive,250,query,True,Thermoplasmatota,105,
GB_GCA_016281925.1,JAEEJP010000036.1_4,positive,251,query,True,Thermoplasmatota,142,
GB_GCA_016281925.1,JAEEJP010000084.1_13,positive,252,query,True,Thermoplasmatota,167,
GB_GCA_016281925.1,JAEEJP010000095.1_6,positive,253,query,True,Thermoplasmatota,235,
GB_GCA_016840385.1,JAEOSL010000164.1_5,positive,254,query,True,Asgardarchaeota,140,
GB_GCA_016840385.1,JAEOSL010000001.1_100,positive,255,query,True,Asgardarchaeota,320,
GB_GCA_016840385.1,JAEOSL010000087.1_14,positive,256,query,True,Asgardarchaeota,210,
GB_GCA_016840385.1,JAEOSL010000013.1_31,positive,257,query,True,Asgardarchaeota,214,
GB_GCA_016840385.1,JAEOSL010000016.1_1,positive,258,query,True,Asgardarchaeota,151,
GB_GCA_016840385.1,JAEOSL010000016.1_5,positive,259,query,True,Asgardarchaeota,124,
GB_GCA_016840385.1,JAEOSL010000108.1_12,positive,260,query,True,Asgardarchaeota,149,
GB_GCA_016840385.1,JAEOSL010000133.1_9,positive,261,query,True,Asgardarchaeota,319,
GB_GCA_016840385.1,JAEOSL010000135.1_5,positive,262,query,True,Asgardarchaeota,165,
GB_GCA_016840385.1,JAEOSL010000138.1_1,positive,263,query,True,Asgardarchaeota,280,
GB_GCA_016840385.1,JAEOSL010000036.1_5,positive,264,query,True,Asgardarchaeota,228,
GB_GCA_016840385.1,JAEOSL010000038.1_1,positive,265,query,True,Asgardarchaeota,49,
GB_GCA_016840385.1,JAEOSL010000053.1_20,positive,266,query,True,Asgardarchaeota,455,
GB_GCA_016840385.1,JAEOSL010000008.1_30,positive,267,query,True,Asgardarchaeota,266,
GB_GCA_016840385.1,JAEOSL010000150.1_1,positive,268,query,True,Asgardarchaeota,363,
GB_GCA_016840385.1,JAEOSL010000152.1_1,positive,269,query,True,Asgardarchaeota,163,
GB_GCA_016867655.1,VGJA01000006.1_16,positive,270,query,True,Altiarchaeota,178,
GB_GCA_016867655.1,VGJA01000019.1_7,positive,271,query,True,Altiarchaeota,310,
GB_GCA_016867655.1,VGJA01000068.1_1,positive,272,query,True,Altiarchaeota,96,
GB_GCA_016867655.1,VGJA01000102.1_5,positive,273,query,True,Altiarchaeota,157,
GB_GCA_016867655.1,VGJA01000133.1_1,positive,274,query,True,Altiarchaeota,92,
GB_GCA_016932215.1,JAFGDH010000015.1_6,positive,275,query,True,Aenigmatarchaeota,148,
GB_GCA_016932215.1,JAFGDH010000021.1_32,positive,276,query,True,Aenigmatarchaeota,210,
GB_GCA_016932215.1,JAFGDH010000031.1_52,positive,277,query,True,Aenigmatarchaeota,67,
GB_GCA_017468685.1,JAFUHT010000026.1_8,positive,278,query,True,Methanobacteriota,195,
GB_GCA_017468685.1,JAFUHT010000026.1_9,positive,279,query,True,Methanobacteriota,231,
GB_GCA_017468685.1,JAFUHT010000040.1_27,positive,280,query,True,Methanobacteriota,136,
GB_GCA_017468685.1,JAFUHT010000071.1_13,positive,281,query,True,Methanobacteriota,277,
GB_GCA_017561715.1,JAFZBN010000019.1_29,positive,282,query,True,Firmicutes_A,84,
GB_GCA_017561715.1,JAFZBN010000021.1_14,positive,283,query,True,Firmicutes_A,343,
GB_GCA_017561715.1,JAFZBN010000005.1_104,positive,284,query,True,Firmicutes_A,528,
GB_GCA_017561715.1,JAFZBN010000001.1_3,positive,285,query,True,Firmicutes_A,121,
GB_GCA_017561715.1,JAFZBN010000011.1_52,positive,286,query,True,Firmicutes_A,335,
GB_GCA_017561715.1,JAFZBN010000015.1_189,positive,287,query,True,Firmicutes_A,190,
GB_GCA_017561715.1,JAFZBN010000016.1_90,positive,288,query,True,Firmicutes_A,511,
GB_GCA_017561715.1,JAFZBN010000018.1_53,positive,289,query,True,Firmicutes_A,127,
GB_GCA_017561715.1,JAFZBN010000018.1_147,positive,290,query,True,Firmicutes_A,343,
GB_GCA_017608575.1,JAFCFP010000006.1_14,positive,291,query,True,Iainarchaeota,116,
GB_GCA_017608575.1,JAFCFP010000007.1_24,positive,292,query,True,Iainarchaeota,180,
GB_GCA_017608575.1,JAFCFP010000016.1_3,positive,293,query,True,Iainarchaeota,209,
GB_GCA_017608575.1,JAFCFP010000016.1_21,positive,294,query,True,Iainarchaeota,85,
GB_GCA_017608575.1,JAFCFP010000001.1_43,positive,295,query,True,Iainarchaeota,132,
GB_GCA_017608575.1,JAFCFP010000002.1_56,positive,296,query,True,Iainarchaeota,369,
GB_GCA_017608575.1,JAFCFP010000033.1_8,positive,297,query,True,Iainarchaeota,171,
GB_GCA_017609755.1,JAFCDI010000002.1_16,positive,298,query,True,Nanoarchaeota,185,
GB_GCA_017609755.1,JAFCDI010000018.1_24,positive,299,query,True,Nanoarchaeota,528,
GB_GCA_018220935.1,JAAOXU010000033.1_14,positive,300,query,True,SpSt-1190,319,
GB_GCA_018220935.1,JAAOXU010000005.1_31,positive,301,query,True,SpSt-1190,182,
