protein_id,family
JAHJDJ010000126.1_3,PF01436.24
JAHJDJ010000133.1_2,PF03349.19
JAHJDJ010000134.1_2,PF06114.16
JAHJDJ010000135.1_3,PF00756.23
JAHJDJ010000136.1_3,PF00072.27
JABWCQ010000009.1_15,PF18962.3
JABWCQ010000009.1_25,PF01810.21
JABWCQ010000009.1_84,PF18962.3
JABWCQ010000011.1_3,PF00436.28
JABWCQ010000011.1_15,PF04536.17
JABWCQ010000011.1_89,PF18962.3
JABWCQ010000011.1_103,PF00155.24
JABWCQ010000002.1_69,PF03772.19
JABWCQ010000002.1_113,PF03706.16
JABWCQ010000002.1_136,PF00698.24
JABWCQ010000002.1_216,PF10502.12
JABWCQ010000012.1_44,PF02515.20
JABWCQ010000012.1_61,PF01257.22
JABWCQ010000013.1_37,PF03597.18
JABWCQ010000003.1_4,PF03916.17
JABWCQ010000003.1_94,PF03610.19
JABWCQ010000003.1_139,PF18962.3
JABWCQ010000003.1_163,PF02153.20
JABWCQ010000016.1_13,PF00027.32
JABWCQ010000004.1_86,PF03544.17
JABWCQ010000004.1_151,PF02578.18
JABWCQ010000005.1_24,PF07883.14
JABWCQ010000005.1_34,PF16930.8
JABWCQ010000005.1_37,PF00528.25
JABWCQ010000017.1_23,PF03415.17
JABWCQ010000019.1_36,PF02073.18
JABWCQ010000001.1_7,PF00072.27
JABWCQ010000001.1_52,PF00813.23
JABWCQ010000001.1_181,PF01694.25
JABWCQ010000001.1_194,PF00430.21
JABWCQ010000001.1_203,PF02823.19
JABWCQ010000007.1_39,PF01894.20
NYYY01000001.1_26,PF00535.29
NYYY01000002.1_9,PF04362.17
NYYY01000003.1_2,PF03740.16
NYYY01000005.1_21,PF00731.23
NYYY01000007.1_1,PF01627.26
NYYY01000007.1_2,PF07238.17
NYYY01000007.1_7,PF00227.29
NYYY01000008.1_2,PF12836.10
NYYY01000013.1_6,PF02146.20
NYYY01000013.1_8,PF01967.24
NYYY01000016.1_1,PF08543.15
NYYY01000016.1_3,PF01206.20
NYYY01000018.1_2,PF00892.23
NYYY01000019.1_12,PF09360.13
NYYY01000025.1_2,PF02631.19
NYYY01000025.1_6,PF01066.24
NYYY01000025.1_13,PF05048.16
NYYY01000025.1_15,PF01145.28
NYYY01000026.1_9,PF01075.20
NYYY01000028.1_29,PF13860.9
NYYY01000028.1_30,PF02535.25
NYYY01000028.1_33,PF01300.21
NYYY01000028.1_34,PF00731.23
NYYY01000030.1_3,PF00480.23
NYYY01000030.1_25,PF17991.4
NYYY01000032.1_6,PF01432.23
NYYY01000032.1_7,PF10028.12
NYYY01000034.1_3,PF00453.21
NYYY01000040.1_12,PF01075.20
NYYY01000040.1_14,PF01075.20
NYYY01000042.1_30,PF00171.25
NYYY01000043.1_31,PF20256.1
NYYY01000045.1_8,PF05875.15
NYYY01000045.1_31,PF01165.23
NYYY01000046.1_2,PF02415.20
NYYY01000046.1_10,PF00411.22
NYYY01000046.1_23,PF00253.24
NYYY01000047.1_7,PF00156.30
NYYY01000048.1_3,PF20143.2
NYYY01000048.1_10,PF02597.23
NYYY01000050.1_6,PF01702.21
NYYY01000050.1_7,PF02699.18
NYYY01000050.1_16,PF01746.24
NYYY01000052.1_8,PF03682.16
NYYY01000052.1_18,PF03091.18
NYYY01000053.1_24,PF03060.18
NYYY01000053.1_45,PF02591.18
NYYY01000053.1_50,PF02580.19
NYYY01000054.1_17,PF13860.9
NYYY01000054.1_28,PF02445.19
NYYY01000054.1_35,PF13036.9
NYYY01000054.1_38,PF15902.8
NYYY01000055.1_5,PF00398.23
NYYY01000060.1_12,PF12770.10
NYYY01000061.1_1,PF12770.10
NYYY01000063.1_8,PF05036.16
NYYY01000065.1_15,PF00809.25
NYYY01000065.1_36,PF02492.22
NYYY01000068.1_10,PF13424.9
NYYY01000069.1_6,PF01242.22
NYYY01000070.1_2,PF04519.16
NYYY01000070.1_4,PF04026.15
NYYY01000070.1_5,PF02412.21
NYYY01000071.1_2,PF00156.30
NYYY01000072.1_7,PF00248.24
NYYY01000076.1_4,PF00932.22
NYYY01000076.1_20,PF01144.26
NYYY01000079.1_8,PF00825.21
NYYY01000079.1_26,PF04932.18
NYYY01000080.1_2,PF00027.32
NYYY01000080.1_10,PF09586.13
NYYY01000080.1_14,PF13562.9
NYYY01000082.1_5,PF01872.20
NYYY01000084.1_2,PF00164.28
NYYY01000087.1_8,PF02482.22
NYYY01000087.1_17,PF00829.24
QZKU01000128.1_75,PF09586.13
QZKU01000128.1_159,PF00072.27
QZKU01000053.1_35,PF06835.16
QZKU01000042.1_4,PF00329.22
QZKU01000042.1_39,PF00072.27
QZKU01000042.1_66,PF01243.23
QZKU01000127.1_10,PF13358.9
QZKU01000115.1_41,PF00499.23
QZKU01000115.1_42,PF00420.27
QZKU01000045.1_60,PF07690.19
QZKU01000041.1_29,PF00440.26
QZKU01000145.1_33,PF08901.14
QZKU01000084.1_23,PF02915.20
QZKU01000143.1_20,PF01202.25
QZKU01000092.1_43,PF00437.23
QZKU01000098.1_44,PF15919.8
QZKU01000099.1_17,PF07690.19
QZKU01000022.1_22,PF01229.20
QZKU01000022.1_34,PF03808.16
QZKU01000105.1_16,PF02492.22
QZKU01000031.1_2,PF07238.17
QZKU01000122.1_19,PF03321.16
QZKU01000065.1_26,PF00365.23
QZKU01000085.1_23,PF02283.19
QZKU01000052.1_3,PF04015.15
QZKU01000061.1_26,PF00005.30
QZKU01000044.1_29,PF01497.21
QZKU01000012.1_9,PF05130.15
QZKU01000012.1_22,PF00072.27
QZKU01000073.1_13,PF00437.23
QZKU01000142.1_30,PF02416.19
QZKU01000034.1_4,PF14022.9
QZKU01000129.1_4,PF03168.16
QZKU01000120.1_2,PF00145.20
QZKU01000086.1_9,PF01597.22
QZKU01000094.1_4,PF07238.17
QZKU01000141.1_13,PF00156.30
QZKU01000079.1_23,PF00237.22
QZKU01000002.1_5,PF09861.12
QZKI01000095.1_33,PF01636.26
QZKI01000091.1_23,PF00557.27
QZKI01000022.1_71,PF02735.19
QZKI01000062.1_3,PF02416.19
QZKI01000143.1_55,PF12773.10
QZKI01000142.1_32,PF04366.15
QZKI01000026.1_45,PF05597.14
QZKI01000071.1_1,PF17210.6
QZKI01000060.1_5,PF01197.21
QZKI01000060.1_46,PF00072.27
QZKI01000110.1_45,PF01566.21
QZKI01000077.1_9,PF02120.19
QZKI01000118.1_35,PF00072.27
QZKI01000023.1_5,PF01841.22
QZKI01000023.1_22,PF03747.17
QZKI01000023.1_32,PF07027.15
QZKI01000001.1_3,PF18734.4
QZKI01000001.1_15,PF13192.9
QZKI01000008.1_32,PF13226.9
QZKI01000021.1_19,PF09370.13
QZKI01000016.1_20,PF01592.19
QZKI01000063.1_10,PF00582.29
QZKI01000076.1_20,PF07995.14
QZKI01000082.1_16,PF00092.31
QZKI01000009.1_29,PF03143.20
QZKI01000106.1_9,PF01168.23
QZKI01000039.1_4,PF01259.21
QZKI01000114.1_7,PF01934.20
QZKI01000049.1_1,PF01804.21
QZKI01000139.1_10,PF02146.20
QZKI01000067.1_12,PF13596.9
QZKI01000057.1_3,PF09626.13
QZKI01000041.1_6,PF02308.19
PLDF01000175.1_69,PF12543.11
PLDF01000335.1_13,PF04390.15
PLDF01000223.1_8,PF04471.15
PLDF01000223.1_20,PF00106.28
PLDF01000242.1_3,PF03737.18
PLDF01000385.1_15,PF01741.21
PLDF01000481.1_29,PF13620.9
PLDF01000363.1_2,PF08327.14
PLDF01000363.1_7,PF03965.19
PLDF01000409.1_86,PF01613.21
PLDF01000345.1_34,PF00300.25
PLDF01000158.1_21,PF13443.9
PLDF01000282.1_5,PF10923.11
PLDF01000210.1_8,PF13490.9
PLDF01000210.1_21,PF04191.16
PLDF01000202.1_34,PF00873.22
PLDF01000183.1_7,PF07394.15
PLDF01000142.1_28,PF06296.15
PLDF01000294.1_3,PF13349.9
PLDF01000479.1_40,PF03965.19
PLDF01000425.1_35,PF16277.8
PLDF01000402.1_24,PF00196.22
PLDF01000194.1_61,PF12708.10
PLDF01000083.1_61,PF03965.19
PLDF01000173.1_7,PF08681.14
PLDF01000021.1_2,PF07690.19
PLDF01000500.1_40,PF06580.16
PLDF01000310.1_26,PF09286.14
PLDF01000197.1_17,PF01384.23
PLDF01000226.1_3,PF13428.9
PLDF01000497.1_18,PF00920.24
PLDF01000440.1_17,PF00175.24
PLDF01000276.1_31,PF02682.19
PLDF01000448.1_6,PF03551.17
PLDF01000464.1_10,PF09957.12
PLDF01000283.1_3,PF03551.17
PLDF01000506.1_15,PF00067.25
PLDF01000410.1_11,PF00994.27
PLDF01000429.1_25,PF00528.25
PLDF01000047.1_6,PF02441.22
PLDF01000336.1_30,PF12543.11
PLDF01000478.1_78,PF01797.19
PLDF01000126.1_6,PF14022.9
PLDF01000394.1_41,PF01435.21
PLDF01000162.1_31,PF14294.9
PLDF01000219.1_82,PF03551.17
PLDF01000444.1_15,PF01075.20
PLDF01000208.1_10,PF06114.16
PLDF01000342.1_28,PF01551.25
PLDF01000163.1_19,PF03328.17
JABFRY010000173.1_2,PF00753.30
JABFRY010000316.1_3,PF02265.19
JABFRY010000062.1_9,PF07786.15
JABFRY010000349.1_2,PF00296.23
JABFRY010000282.1_3,PF00696.31
JABFRY010000154.1_2,PF05580.15
JABFRY010000361.1_3,PF02146.20
JABFRY010000515.1_1,PF00144.27
JABFRY010000367.1_9,PF04932.18
JABFRY010000183.1_4,PF07238.17
JABFRY010000396.1_5,PF00696.31
JABFRY010000020.1_2,PF18191.4
JABFRY010000028.1_1,PF18317.4
JABFRY010000229.1_4,PF00591.24
JABFRY010000401.1_1,PF19288.2
JABFRY010000518.1_6,PF00936.22
JABFRY010000280.1_4,PF00231.22
JABFRY010000207.1_6,PF02091.18
JABFRY010000527.1_8,PF12705.10
JABFRY010000178.1_9,PF00115.23
JABFRY010000063.1_3,PF04273.16
JABFRY010000517.1_2,PF04216.15
JABFRY010000095.1_5,PF06532.14
JABFRY010000242.1_4,PF02575.19
JABFRY010000242.1_12,PF00082.25
JABFRY010000369.1_3,PF01384.23
JAGXKI010000003.1_100,PF01257.22
JAGXKI010000023.1_17,PF04430.17
JAGXKI010000024.1_7,PF03706.16
JAGXKI010000024.1_26,PF00213.21
JAGXKI010000027.1_3,PF01145.28
JAGXKI010000031.1_2,PF03869.17
JAGXKI010000037.1_11,PF09719.13
JAGXKI010000039.1_13,PF05121.15
JAGXKI010000042.1_13,PF07949.15
JAGXKI010000050.1_12,PF01206.20
JAGXKI010000001.1_83,PF01648.23
JAGXKI010000010.1_47,PF00861.25
JAGXKI010000059.1_10,PF13263.9
JAGXKI010000060.1_3,PF04892.15
JAGXKI010000062.1_9,PF12838.10
NZ_QHKX01000001.1_180,PF18915.3
NZ_QHKX01000001.1_1116,PF00884.26
NZ_QHKX01000002.1_1,PF02245.19
NZ_QHKX01000002.1_449,PF04093.15
NZ_QHKX01000003.1_174,PF00275.23
BMST01000004.1_16,PF00528.25
BMST01000004.1_233,PF04199.16
BMST01000004.1_390,PF02361.19
BMST01000007.1_254,PF04893.20
BMST01000009.1_65,PF00155.24
BMST01000016.1_60,PF02527.18
BMST01000020.1_4,PF01032.21
JACIXG010000061.1_4,PF00067.25
NZ_LMKQ01000001.1_801,PF00528.25
NZ_LMKQ01000001.1_1044,PF01258.20
NZ_NCSM01000022.1_355,PF02575.19
NZ_NCSM01000003.1_26,PF07719.20
NZ_NCSM01000038.1_37,PF02371.19
NZ_NCSM01000004.1_392,PF07969.14
NZ_NCSM01000054.1_10,PF13228.9
NZ_NCSM01000057.1_152,PF00482.26
NZ_NCSM01000007.1_44,PF04149.15
NZ_NCSM01000080.1_16,PF04472.15
NZ_CP016279.1_450,PF02669.18
NZ_CP016279.1_1022,PF01127.25
NZ_CP016279.1_2064,PF07730.16
NZ_CP016279.1_3699,PF00708.21
NZ_CP016279.1_6611,PF05908.14
NZ_CP016279.1_8673,PF04686.15
NZ_CP016279.1_9361,PF02390.20
NZ_CP016279.1_9528,PF00720.20
NZ_FQTT01000001.1_177,PF02467.19
NZ_FQTT01000016.1_85,PF03610.19
NZ_FQTT01000009.1_116,PF00528.25
NZ_BDAU01000001.1_223,PF07690.19
NZ_BDAU01000034.1_44,PF00300.25
NZ_BDAU01000058.1_17,PF00903.28
NZ_JADWYU010000083.1_71,PF00436.28
NZ_JADWYU010000378.1_6,PF01638.20
NZ_JADWYU010000145.1_49,PF14016.9
NZ_JADWYU010000086.1_15,PF00303.22
NZ_JADWYU010000227.1_21,PF00238.22
JAFKJK010000015.1_65,PF02302.20
JAFKJK010000007.1_497,PF02604.22
NZ_VFPQ01000001.1_1554,PF13592.9
NZ_VFPQ01000001.1_2769,PF10418.12
NZ_VFPQ01000001.1_3214,PF00331.23
NZ_VFPQ01000001.1_4356,PF00296.23
SYBY01000037.1_2,PF01613.21
SYBY01000366.1_5,PF00582.29
SYBY01000470.1_23,PF04248.15
SYBY01000077.1_2,PF20254.1
SYBY01000490.1_4,PF01594.19
WLFD01000156.1_2,PF02361.19
WLFD01000034.1_8,PF02585.20
WLFD01000072.1_12,PF13577.9
DLPB01000023.1_19,PF00275.23
NZ_PJIN01000017.1_11,PF00085.23
NZ_PJIN01000001.1_107,PF12840.10
NZ_PJIN01000003.1_51,PF05544.14
NZ_PJIN01000003.1_172,PF03372.26
NZ_PJIN01000003.1_204,PF04237.16
NZ_PJIN01000009.1_96,PF02381.21
PAZD01000024.1_14,PF13578.9
NZ_LBMK01000003.1_505,PF04738.16
JAFMIT010000068.1_3,PF00300.25
NZ_AFXQ01000003.1_117,PF01261.27
NZ_FQVN01000007.1_49,PF05729.15
NZ_FQVN01000005.1_465,PF07690.19
NZ_FQVN01000002.1_234,PF19402.2
NZ_FQVN01000001.1_283,PF03819.20
NZ_FQVN01000001.1_952,PF02559.19
NZ_BNCD01000001.1_433,PF05138.15
NZ_BNCD01000004.1_348,PF01337.21
NZ_BNCD01000006.1_8,PF13676.9
NZ_BNCD01000006.1_191,PF00221.22
NZ_BNCD01000007.1_65,PF00313.25
JACCUF010000251.1_3,PF00196.22
PMNA01000017.1_239,PF13472.9
PMNA01000013.1_280,PF02073.18
JAGWXF010000012.1_36,PF04250.16
CACMQN010000003.1_126,PF01168.23
WLOP01000003.1_28,PF00202.24
JACRAC010000020.1_4,PF14010.9
JACRAC010000020.1_9,PF00459.28
JACRAC010000004.1_15,PF00710.23
JACRAC010000004.1_25,PF00572.21
JACRAC010000019.1_2,PF01136.22
JACRAC010000021.1_13,PF00252.21
JACRAC010000025.1_12,PF08792.13
JACRAC010000002.1_8,PF01558.21
JACRAC010000002.1_11,PF13549.9
JACRAC010000002.1_21,PF01889.20
JACRAC010000002.1_38,PF10432.12
JACRAC010000002.1_44,PF03116.18
JACRAC010000002.1_55,PF00248.24
JACRAC010000029.1_8,PF01066.24
JACRAC010000031.1_2,PF02926.20
JACRAC010000033.1_7,PF10633.12
JACRAC010000006.1_1,PF03136.18
JACRAC010000036.1_5,PF01139.20
JACRAC010000038.1_3,PF02616.17
JACRAC010000038.1_10,PF01040.21
JACRAC010000038.1_13,PF01269.20
JACRAC010000040.1_10,PF03683.16
JACRAC010000041.1_8,PF03734.17
JACRAC010000044.1_2,PF02996.20
JACRAC010000047.1_2,PF01198.22
JACRAC010000047.1_11,PF01544.21
JACRAC010000048.1_7,PF00293.31
JACRAC010000008.1_56,PF05362.16
JACRAC010000051.1_2,PF00300.25
JACRAC010000052.1_11,PF01655.21
JACRAC010000052.1_13,PF00410.22
JACRAC010000052.1_28,PF00276.23
JACRAC010000053.1_5,PF01026.24
JACRAC010000056.1_9,PF03604.16
JACRAC010000059.1_4,PF03551.17
JACRAC010000061.1_8,PF02680.17
JACRAC010000009.1_2,PF09970.12
JACRAC010000011.1_24,PF01970.19
JACRAC010000011.1_54,PF13662.9
JACRAC010000011.1_58,PF05159.17
JACRAC010000011.1_59,PF05159.17
JACRAC010000012.1_3,PF08327.14
JACRAC010000013.1_8,PF10517.12
JACRAC010000013.1_14,PF01872.20
JAFGDH010000036.1_9,PF01986.19
JAFGDH010000039.1_6,PF01871.20
JAFGDH010000039.1_8,PF02272.22
JAFGDH010000039.1_19,PF03692.18
JAFGDH010000040.1_3,PF18898.3
JAFGDH010000042.1_24,PF03773.16
JAFGDH010000010.1_5,PF00398.23
JAFGDH010000010.1_9,PF04430.17
JAFGDH010000010.1_29,PF01889.20
JAFGDH010000011.1_4,PF01384.23
JAFGDH010000001.1_1,PF01261.27
JAFGDH010000001.1_8,PF00571.31
JAFGDH010000001.1_18,PF04919.15
JAFGDH010000001.1_23,PF01978.22
JAFGDH010000001.1_39,PF00696.31
JAFGDH010000001.1_51,PF20501.1
JAFGDH010000006.1_19,PF01096.21
JAFGDH010000012.1_9,PF02579.20
JAFGDH010000007.1_13,PF01558.21
JAFGDH010000007.1_15,PF04307.17
JAFGDH010000007.1_17,PF13607.9
JAFGDH010000015.1_11,PF00297.25
JAFGDH010000015.1_14,PF00416.25
JAFGDH010000015.1_15,PF13620.9
JAFGDH010000015.1_77,PF00410.22
JAFGDH010000015.1_82,PF00238.22
JAFGDH010000015.1_91,PF00237.22
JAFGDH010000015.1_92,PF00203.24
JAFGDH010000015.1_107,PF01015.21
JAFGDH010000015.1_109,PF07228.15
JAFGDH010000016.1_6,PF01812.23
JAFGDH010000016.1_51,PF00579.28
JAFGDH010000016.1_65,PF00736.22
JAFGDH010000017.1_5,PF10633.12
JAFGDH010000018.1_13,PF00072.27
JAFGDH010000019.1_27,PF01339.20
JAFGDH010000019.1_62,PF02397.19
JAFGDH010000019.1_90,PF01809.21
JAFGDH010000019.1_92,PF01300.21
JAFGDH010000022.1_23,PF02516.17
JAFGDH010000023.1_3,PF01894.20
JAFGDH010000023.1_8,PF02386.19
JAFGDH010000023.1_11,PF00013.32
JAFGDH010000024.1_2,PF00156.30
JAFGDH010000025.1_2,PF00999.24
JAFGDH010000003.1_10,PF18898.3
JAFGDH010000026.1_11,PF04472.15
JAFGDH010000026.1_33,PF07690.19
JAFGDH010000028.1_17,PF02441.22
JAFGDH010000028.1_18,PF01989.19
JAFGDH010000028.1_23,PF01467.29
JAFGDH010000029.1_8,PF04066.16
JAFGDH010000029.1_11,PF20501.1
JAFGDH010000029.1_14,PF00361.23
JAFGDH010000029.1_23,PF11449.11
JAFGDH010000030.1_20,PF01994.19
JAFGDH010000031.1_16,PF04473.15
JAFGDH010000031.1_32,PF07885.19
JAFGDH010000031.1_65,PF06745.16
JAFGDH010000031.1_81,PF02915.20
AQRW01000048.1_1,PF01208.20
AQRW01000050.1_5,PF00121.21
AQRW01000054.1_3,PF04392.15
AQRW01000062.1_8,PF01797.19
AQRW01000065.1_5,PF00528.25
AQRW01000069.1_3,PF01252.21
AQRW01000069.1_9,PF00109.29
AQRW01000073.1_6,PF01402.24
AQRW01000075.1_2,PF02775.24
AQRW01000080.1_6,PF13304.9
AQRW01000083.1_5,PF01208.20
AQRW01000087.1_5,PF00528.25
AQRW01000098.1_7,PF00589.25
AQRW01000101.1_5,PF20126.2
AQRW01000108.1_4,PF02635.18
AQRW01000110.1_5,PF00144.27
AQRW01000116.1_6,PF01865.19
AQRW01000122.1_3,PF07690.19
AQRW01000128.1_6,PF00312.25
AQRW01000130.1_7,PF00528.25
AQRW01000135.1_14,PF04199.16
AQRW01000137.1_13,PF08747.14
AQRW01000138.1_15,PF13643.9
AQRW01000139.1_20,PF09827.12
AQRW01000147.1_25,PF01145.28
AQRW01000148.1_8,PF00528.25
AQRW01000152.1_14,PF00528.25
AQRW01000154.1_20,PF01765.22
AQRW01000154.1_21,PF00696.31
AQRW01000158.1_16,PF01148.23
AQRW01000159.1_11,PF09928.12
AQRW01000159.1_15,PF01208.20
AQRW01000161.1_15,PF02653.19
AQRW01000161.1_19,PF02021.20
AQRW01000164.1_26,PF01155.22
AQRW01000165.1_10,PF00892.23
AQRW01000167.1_12,PF01208.20
