genome_accession,protein_id,category
GB_GCA_002371675.1,DFGE01000032.1_6,positive
GB_GCA_002371675.1,DFGE01000015.1_28,positive
GB_GCA_002371675.1,DFGE01000015.1_108,positive
GB_GCA_002371675.1,DFGE01000015.1_139,positive
GB_GCA_002371675.1,DFGE01000022.1_79,positive
GB_GCA_002371675.1,DFGE01000037.1_31,positive
GB_GCA_002371675.1,DFGE01000019.1_16,positive
GB_GCA_002371675.1,DFGE01000007.1_5,positive
GB_GCA_002371675.1,DFGE01000010.1_11,positive
GB_GCA_002371675.1,DFGE01000018.1_30,positive
GB_GCA_002387725.1,DGKK01000031.1_38,positive
GB_GCA_002387725.1,DGKK01000058.1_6,positive
GB_GCA_002387725.1,DGKK01000006.1_8,positive
GB_GCA_002387725.1,DGKK01000048.1_3,positive
GB_GCA_002414385.1,DHZH01000001.1_228,positive
GB_GCA_002414385.1,DHZH01000003.1_130,positive
GB_GCA_002414385.1,DHZH01000006.1_61,positive
GB_GCA_002414385.1,DHZH01000002.1_21,positive
GB_GCA_002502135.1,DAPM01000018.1_39,positive
GB_GCA_002502135.1,DAPM01000018.1_76,positive
GB_GCA_002697225.1,NZUQ01000006.1_1,positive
GB_GCA_002697225.1,NZUQ01000026.1_15,positive
GB_GCA_002697225.1,NZUQ01000055.1_17,positive
GB_GCA_002697225.1,NZUQ01000083.1_5,positive
GB_GCA_002697225.1,NZUQ01000092.1_23,positive
GB_GCA_002697225.1,NZUQ01000105.1_4,positive
GB_GCA_002697225.1,NZUQ01000108.1_2,positive
GB_GCA_002697225.1,NZUQ01000123.1_3,positive
GB_GCA_002697225.1,NZUQ01000130.1_23,positive
GB_GCA_002697225.1,NZUQ01000135.1_6,positive
GB_GCA_002714785.1,PAYP01000004.1_22,positive
GB_GCA_002714785.1,PAYP01000007.1_25,positive
GB_GCA_002714785.1,PAYP01000016.1_5,positive
GB_GCA_002714785.1,PAYP01000020.1_5,positive
GB_GCA_002714785.1,PAYP01000029.1_95,positive
GB_GCA_002714785.1,PAYP01000034.1_25,positive
GB_GCA_002714785.1,PAYP01000060.1_4,positive
GB_GCA_002714785.1,PAYP01000078.1_11,positive
GB_GCA_002714785.1,PAYP01000094.1_15,positive
GB_GCA_002714785.1,PAYP01000105.1_11,positive
GB_GCA_002789275.1,PFSX01000046.1_31,positive
GB_GCA_002789275.1,PFSX01000043.1_2,positive
GB_GCA_003009815.1,PXPD01000007.1_5,positive
GB_GCA_003009815.1,PXPD01000016.1_3,positive
GB_GCA_003009815.1,PXPD01000029.1_16,positive
GB_GCA_003009815.1,PXPD01000036.1_10,positive
GB_GCA_003009815.1,PXPD01000046.1_1,positive
GB_GCA_003162055.1,PMNA01000009.1_27,positive
GB_GCA_003162055.1,PMNA01000026.1_170,positive
GB_GCA_003162055.1,PMNA01000023.1_23,positive
GB_GCA_003162055.1,PMNA01000022.1_18,positive
GB_GCA_003162055.1,PMNA01000030.1_32,positive
GB_GCA_003162055.1,PMNA01000030.1_95,positive
GB_GCA_003166335.1,PMWA01000025.1_1,positive
GB_GCA_003166335.1,PMWA01000092.1_36,positive
GB_GCA_003663585.1,QMTU01000006.1_15,positive
GB_GCA_003663585.1,QMTU01000046.1_1,positive
GB_GCA_004347925.1,QNVD01000010.1_19,positive
GB_GCA_004347925.1,QNVD01000112.1_4,positive
GB_GCA_004347925.1,QNVD01000273.1_3,positive
GB_GCA_004347925.1,QNVD01000274.1_9,positive
GB_GCA_004347925.1,QNVD01000301.1_6,positive
GB_GCA_004347925.1,QNVD01000037.1_6,positive
GB_GCA_004347925.1,QNVD01000064.1_1,positive
GB_GCA_008080745.1,SHMX01000001.1_4,positive
GB_GCA_008080745.1,SHMX01000001.1_309,positive
GB_GCA_008080745.1,SHMX01000002.1_158,positive
GB_GCA_008080745.1,SHMX01000002.1_467,positive
GB_GCA_008080745.1,SHMX01000003.1_6,positive
GB_GCA_008080745.1,SHMX01000003.1_38,positive
GB_GCA_008080745.1,SHMX01000003.1_352,positive
GB_GCA_008080745.1,SHMX01000003.1_472,positive
GB_GCA_008080745.1,SHMX01000004.1_47,positive
GB_GCA_008080745.1,SHMX01000004.1_327,positive
GB_GCA_008080745.1,SHMX01000009.1_34,positive
GB_GCA_009699205.1,WLOP01000001.1_151,positive
GB_GCA_009699205.1,WLOP01000005.1_127,positive
GB_GCA_009699205.1,WLOP01000005.1_146,positive
GB_GCA_009699205.1,WLOP01000008.1_40,positive
GB_GCA_011373345.1,DRXH01000053.1_5,positive
GB_GCA_011373345.1,DRXH01000186.1_2,positive
GB_GCA_011373345.1,DRXH01000146.1_4,positive
GB_GCA_011373345.1,DRXH01000073.1_2,positive
GB_GCA_011380495.1,DRXT01000026.1_16,positive
GB_GCA_011380495.1,DRXT01000027.1_4,positive
GB_GCA_013138765.1,WTCB01000078.1_8,positive
GB_GCA_013138765.1,WTCB01000078.1_11,positive
GB_GCA_013138765.1,WTCB01000078.1_21,positive
GB_GCA_013138765.1,WTCB01000105.1_7,positive
GB_GCA_013138765.1,WTCB01000083.1_7,positive
GB_GCA_013138765.1,WTCB01000008.1_5,positive
GB_GCA_013138765.1,WTCB01000080.1_4,positive
GB_GCA_013138765.1,WTCB01000125.1_11,positive
GB_GCA_013138765.1,WTCB01000052.1_2,positive
GB_GCA_013139905.1,WSZW01000108.1_1,positive
GB_GCA_013139905.1,WSZW01000155.1_5,positive
GB_GCA_013139905.1,WSZW01000013.1_5,positive
GB_GCA_013139905.1,WSZW01000093.1_4,positive
GB_GCA_013425335.1,JACCLG010000012.1_50,positive
GB_GCA_013425335.1,JACCLG010000050.1_63,positive
GB_GCA_014189675.1,DVAE01000026.1_29,positive
GB_GCA_014189675.1,DVAE01000003.1_2,positive
GB_GCA_014189675.1,DVAE01000035.1_9,positive
GB_GCA_014189675.1,DVAE01000001.1_39,positive
GB_GCA_014523495.1,JAATVM010000059.1_11,positive
GB_GCA_014523495.1,JAATVM010000099.1_1,positive
GB_GCA_014523495.1,JAATVM010000010.1_6,positive
GB_GCA_014523495.1,JAATVM010000107.1_10,positive
GB_GCA_014523495.1,JAATVM010000116.1_1,positive
GB_GCA_014523495.1,JAATVM010000153.1_4,positive
GB_GCA_014523495.1,JAATVM010000153.1_11,positive
GB_GCA_014523495.1,JAATVM010000161.1_4,positive
GB_GCA_014523495.1,JAATVM010000174.1_5,positive
GB_GCA_014523495.1,JAATVM010000020.1_1,positive
GB_GCA_014523495.1,JAATVM010000213.1_11,positive
GB_GCA_014523495.1,JAATVM010000031.1_2,positive
GB_GCA_015485525.1,WFTM01000033.1_6,positive
GB_GCA_015485525.1,WFTM01000045.1_8,positive
GB_GCA_015485525.1,WFTM01000124.1_3,positive
GB_GCA_015485525.1,WFTM01000193.1_5,positive
GB_GCA_015485525.1,WFTM01000226.1_7,positive
GB_GCA_015485525.1,WFTM01000226.1_17,positive
GB_GCA_015485525.1,WFTM01000281.1_7,positive
GB_GCA_015485525.1,WFTM01000303.1_2,positive
GB_GCA_015485525.1,WFTM01000370.1_3,positive
GB_GCA_015485525.1,WFTM01000393.1_2,positive
GB_GCA_015485525.1,WFTM01000479.1_12,positive
GB_GCA_015520115.1,WAQS01000026.1_8,positive
GB_GCA_015520115.1,WAQS01000040.1_5,positive
GB_GCA_015520115.1,WAQS01000176.1_1,positive
GB_GCA_015520115.1,WAQS01000183.1_5,positive
GB_GCA_015520115.1,WAQS01000183.1_7,positive
GB_GCA_015520115.1,WAQS01000187.1_1,positive
GB_GCA_015520115.1,WAQS01000192.1_4,positive
GB_GCA_015520115.1,WAQS01000211.1_2,positive
GB_GCA_015520115.1,WAQS01000218.1_5,positive
GB_GCA_015520115.1,WAQS01000229.1_3,positive
GB_GCA_015520115.1,WAQS01000295.1_9,positive
GB_GCA_015520145.1,WAQR01000146.1_4,positive
GB_GCA_015520145.1,WAQR01000170.1_10,positive
GB_GCA_015520145.1,WAQR01000177.1_5,positive
GB_GCA_015520145.1,WAQR01000192.1_1,positive
GB_GCA_015520145.1,WAQR01000228.1_4,positive
GB_GCA_015520145.1,WAQR01000248.1_1,positive
GB_GCA_015522495.1,WAMD01000032.1_5,positive
GB_GCA_015522495.1,WAMD01000032.1_16,positive
GB_GCA_015523055.1,WALD01000065.1_2,positive
GB_GCA_015523055.1,WALD01000094.1_5,positive
GB_GCA_015523055.1,WALD01000101.1_14,positive
GB_GCA_016213555.1,JACRAC010000043.1_5,positive
GB_GCA_016213555.1,JACRAC010000060.1_7,positive
GB_GCA_016281925.1,JAEEJP010000118.1_3,positive
GB_GCA_016281925.1,JAEEJP010000023.1_22,positive
GB_GCA_016281925.1,JAEEJP010000005.1_1,positive
GB_GCA_016281925.1,JAEEJP010000033.1_1,positive
GB_GCA_016281925.1,JAEEJP010000034.1_27,positive
GB_GCA_016281925.1,JAEEJP010000036.1_4,positive
GB_GCA_016281925.1,JAEEJP010000084.1_13,positive
GB_GCA_016281925.1,JAEEJP010000095.1_6,positive
GB_GCA_016840385.1,JAEOSL010000164.1_5,positive
GB_GCA_016840385.1,JAEOSL010000001.1_100,positive
GB_GCA_016840385.1,JAEOSL010000087.1_14,positive
GB_GCA_016840385.1,JAEOSL010000013.1_31,positive
GB_GCA_016840385.1,JAEOSL010000016.1_1,positive
GB_GCA_016840385.1,JAEOSL010000016.1_5,positive
GB_GCA_016840385.1,JAEOSL010000108.1_12,positive
GB_GCA_016840385.1,JAEOSL010000133.1_9,positive
GB_GCA_016840385.1,JAEOSL010000135.1_5,positive
GB_GCA_016840385.1,JAEOSL010000138.1_1,positive
GB_GCA_016840385.1,JAEOSL010000036.1_5,positive
GB_GCA_016840385.1,JAEOSL010000038.1_1,positive
GB_GCA_016840385.1,JAEOSL010000053.1_20,positive
GB_GCA_016840385.1,JAEOSL010000008.1_30,positive
GB_GCA_016840385.1,JAEOSL010000150.1_1,positive
GB_GCA_016840385.1,JAEOSL010000152.1_1,positive
GB_GCA_016867655.1,VGJA01000006.1_16,positive
GB_GCA_016867655.1,VGJA01000019.1_7,positive
GB_GCA_016867655.1,VGJA01000068.1_1,positive
GB_GCA_016867655.1,VGJA01000102.1_5,positive
GB_GCA_016867655.1,VGJA01000133.1_1,positive
GB_GCA_016932215.1,JAFGDH010000015.1_6,positive
GB_GCA_016932215.1,JAFGDH010000021.1_32,positive
GB_GCA_016932215.1,JAFGDH010000031.1_52,positive
GB_GCA_017468685.1,JAFUHT010000026.1_8,positive
GB_GCA_017468685.1,JAFUHT010000026.1_9,positive
GB_GCA_017468685.1,JAFUHT010000040.1_27,positive
GB_GCA_017468685.1,JAFUHT010000071.1_13,positive
GB_GCA_017561715.1,JAFZBN010000019.1_29,positive
GB_GCA_017561715.1,JAFZBN010000021.1_14,positive
GB_GCA_017561715.1,JAFZBN010000005.1_104,positive
GB_GCA_017561715.1,JAFZBN010000001.1_3,positive
GB_GCA_017561715.1,JAFZBN010000011.1_52,positive
GB_GCA_017561715.1,JAFZBN010000015.1_189,positive
GB_GCA_017561715.1,JAFZBN010000016.1_90,positive
GB_GCA_017561715.1,JAFZBN010000018.1_53,positive
GB_GCA_017561715.1,JAFZBN010000018.1_147,positive
GB_GCA_017608575.1,JAFCFP010000006.1_14,positive
GB_GCA_017608575.1,JAFCFP010000007.1_24,positive
GB_GCA_017608575.1,JAFCFP010000016.1_3,positive
GB_GCA_017608575.1,JAFCFP010000016.1_21,positive
GB_GCA_017608575.1,JAFCFP010000001.1_43,positive
GB_GCA_017608575.1,JAFCFP010000002.1_56,positive
GB_GCA_017608575.1,JAFCFP010000033.1_8,positive
GB_GCA_017609755.1,JAFCDI010000002.1_16,positive
GB_GCA_017609755.1,JAFCDI010000018.1_24,positive
GB_GCA_018220935.1,JAAOXU010000033.1_14,positive
GB_GCA_018220935.1,JAAOXU010000005.1_31,positive
GB_GCA_018220935.1,JAAOXU010000034.1_34,positive
GB_GCA_018220935.1,JAAOXU010000034.1_45,positive
GB_GCA_018221025.1,JAAOXX010000031.1_9,positive
GB_GCA_018221025.1,JAAOXX010000046.1_14,positive
GB_GCA_018221025.1,JAAOXX010000064.1_5,positive
GB_GCA_018221025.1,JAAOXX010000065.1_2,positive
GB_GCA_018304445.1,JAGVWD010000020.1_6,positive
GB_GCA_018304445.1,JAGVWD010000001.1_3,positive
GB_GCA_018304445.1,JAGVWD010000001.1_5,positive
GB_GCA_018304445.1,JAGVWD010000044.1_13,positive
GB_GCA_018304445.1,JAGVWD010000053.1_6,positive
GB_GCA_018304505.1,JAGVWA010000018.1_17,positive
GB_GCA_018304505.1,JAGVWA010000001.1_97,positive
GB_GCA_018304505.1,JAGVWA010000020.1_3,positive
GB_GCA_018304505.1,JAGVWA010000013.1_3,positive
GB_GCA_018304505.1,JAGVWA010000005.1_60,positive
GB_GCA_018817405.1,JAHITZ010000054.1_9,positive
GB_GCA_018817405.1,JAHITZ010000012.1_2,positive
GB_GCA_018817405.1,JAHITZ010000025.1_40,positive
GB_GCA_018817405.1,JAHITZ010000025.1_75,positive
GB_GCA_018817405.1,JAHITZ010000032.1_67,positive
GB_GCA_018821925.1,JAHJLF010000008.1_1,positive
GB_GCA_018821925.1,JAHJLF010000090.1_5,positive
GB_GCA_018821925.1,JAHJLF010000050.1_9,positive
GB_GCA_018821925.1,JAHJLF010000062.1_33,positive
GB_GCA_018821925.1,JAHJLF010000072.1_11,positive
GB_GCA_018830205.1,JAHJSX010000021.1_2,positive
GB_GCA_018830205.1,JAHJSX010000062.1_1,positive
GB_GCA_018830205.1,JAHJSX010000191.1_9,positive
GB_GCA_018830205.1,JAHJSX010000153.1_4,positive
GB_GCA_018830205.1,JAHJSX010000172.1_3,positive
GB_GCA_018830205.1,JAHJSX010000183.1_8,positive
GB_GCA_019232725.1,JAFANK010000134.1_1,positive
GB_GCA_019232725.1,JAFANK010000276.1_6,positive
GB_GCA_019232725.1,JAFANK010000142.1_3,positive
GB_GCA_019232725.1,JAFANK010000053.1_7,positive
GB_GCA_019232725.1,JAFANK010000285.1_11,positive
GB_GCA_019232725.1,JAFANK010000073.1_12,positive
GB_GCA_019232725.1,JAFANK010000324.1_5,positive
GB_GCA_019232725.1,JAFANK010000298.1_3,positive
GB_GCA_900315575.1,OMZR01000038.1_34,positive
GB_GCA_900315575.1,OMZR01000015.1_7,positive
GB_GCA_900315575.1,OMZR01000119.1_6,positive
GB_GCA_900315575.1,OMZR01000192.1_5,positive
GB_GCA_900315575.1,OMZR01000106.1_17,positive
GB_GCA_900315575.1,OMZR01000133.1_3,positive
GB_GCA_900317285.1,ONGA01000006.1_35,positive
GB_GCA_900317285.1,ONGA01000008.1_124,positive
GB_GCA_900317285.1,ONGA01000001.1_98,positive
GB_GCA_900317285.1,ONGA01000001.1_132,positive
GB_GCA_900317285.1,ONGA01000019.1_3,positive
GB_GCA_900317285.1,ONGA01000004.1_62,positive
GB_GCA_900317285.1,ONGA01000002.1_99,positive
GB_GCA_900317285.1,ONGA01000015.1_3,positive
GB_GCA_900317285.1,ONGA01000015.1_8,positive
GB_GCA_900317285.1,ONGA01000013.1_8,positive
GB_GCA_900751785.1,CAADSM010000097.1_21,positive
GB_GCA_900751785.1,CAADSM010000101.1_5,positive
GB_GCA_900751785.1,CAADSM010000139.1_10,positive
GB_GCA_900751785.1,CAADSM010000152.1_40,positive
GB_GCA_903875225.1,CAIQVJ010000006.1_32,positive
GB_GCA_903875225.1,CAIQVJ010000007.1_125,positive
GB_GCA_903875225.1,CAIQVJ010000019.1_198,positive
GB_GCA_903875225.1,CAIQVJ010000026.1_6,positive
GB_GCA_903875225.1,CAIQVJ010000030.1_1,positive
GB_GCA_903875225.1,CAIQVJ010000042.1_9,positive
GB_GCA_903875225.1,CAIQVJ010000048.1_3,positive
GB_GCA_903875225.1,CAIQVJ010000083.1_8,positive
GB_GCA_903875225.1,CAIQVJ010000095.1_49,positive
GB_GCA_903875225.1,CAIQVJ010000108.1_162,positive
GB_GCA_903875225.1,CAIQVJ010000108.1_232,positive
GB_GCA_903875225.1,CAIQVJ010000110.1_13,positive
GB_GCA_903875225.1,CAIQVJ010000112.1_132,positive
GB_GCA_903875225.1,CAIQVJ010000118.1_73,positive
GB_GCA_903875225.1,CAIQVJ010000130.1_29,positive
GB_GCA_903875225.1,CAIQVJ010000130.1_30,positive
GB_GCA_903875225.1,CAIQVJ010000130.1_33,positive
GB_GCA_903875225.1,CAIQVJ010000137.1_25,positive
GB_GCA_903915125.1,CAIWRR010000115.1_2,positive
GB_GCA_903915125.1,CAIWRR010000121.1_2,positive
GB_GCA_903915125.1,CAIWRR010000127.1_14,positive
GB_GCA_903915125.1,CAIWRR010000175.1_2,positive
GB_GCA_903915125.1,CAIWRR010000243.1_2,positive
GB_GCA_903915125.1,CAIWRR010000253.1_2,positive
RS_GCF_000158275.2,NZ_CP007062.1_285,positive
RS_GCF_000158275.2,NZ_CP007062.1_286,positive
RS_GCF_000158275.2,NZ_CP007062.1_897,positive
RS_GCF_000158275.2,NZ_CP007062.1_925,positive
RS_GCF_000158275.2,NZ_CP007062.1_927,positive
RS_GCF_000158275.2,NZ_CP007062.1_1006,positive
RS_GCF_000158275.2,NZ_CP007062.1_1027,positive
RS_GCF_000158275.2,NZ_CP007062.1_1225,positive
RS_GCF_000158275.2,NZ_CP007062.1_1859,positive
RS_GCF_000158275.2,NZ_CP007062.1_2110,positive
RS_GCF_000158275.2,NZ_CP007062.1_2113,positive
RS_GCF_000243455.1,NZ_AGJL01000064.1_8,positive
RS_GCF_000243455.1,NZ_AGJL01000056.1_5,positive
RS_GCF_000243455.1,NZ_AGJL01000039.1_11,positive
RS_GCF_000243455.1,NZ_AGJL01000033.1_8,positive
RS_GCF_000243455.1,NZ_AGJL01000010.1_22,positive
RS_GCF_000243455.1,NZ_AGJL01000004.1_7,positive
RS_GCF_000243455.1,NZ_AGJL01000001.1_38,positive
RS_GCF_000299235.1,NC_018649.1_44,positive
RS_GCF_000299235.1,NC_018649.1_403,positive
RS_GCF_000299235.1,NC_018649.1_515,positive
RS_GCF_000299235.1,NC_018649.1_1530,positive
RS_GCF_000299235.1,NC_018649.1_1531,positive
RS_GCF_000299235.1,NC_018649.1_1614,positive
RS_GCF_000299235.1,NC_018649.1_1640,positive
RS_GCF_000299235.1,NC_018649.1_1711,positive
RS_GCF_000299235.1,NC_018649.1_2003,positive
RS_GCF_000299235.1,NC_018649.1_2273,positive
RS_GCF_000299235.1,NC_018649.1_2277,positive
RS_GCF_000382385.1,NZ_KB908319.1_275,positive
RS_GCF_000382385.1,NZ_KB908320.1_1,positive
RS_GCF_000382385.1,NZ_KB908321.1_303,positive
RS_GCF_000382385.1,NZ_KB908322.1_19,positive
RS_GCF_000382385.1,NZ_KB908323.1_138,positive
RS_GCF_000382385.1,NZ_KB908329.1_82,positive
RS_GCF_000382385.1,NZ_KB908330.1_57,positive
RS_GCF_000382385.1,NZ_KB908333.1_48,positive
RS_GCF_000382385.1,NZ_KB908339.1_17,positive
RS_GCF_000382385.1,NZ_KB908339.1_34,positive
RS_GCF_000382385.1,NZ_KB908340.1_7,positive
RS_GCF_000382385.1,NZ_KB908346.1_2,positive
RS_GCF_000382385.1,NZ_KB908347.1_17,positive
RS_GCF_000382385.1,NZ_KB908350.1_10,positive
RS_GCF_000504085.1,NC_022792.1_757,positive
RS_GCF_000504085.1,NC_022792.1_1189,positive
RS_GCF_000504085.1,NC_022792.1_1402,positive
RS_GCF_000504085.1,NC_022792.1_1629,positive
RS_GCF_000504085.1,NC_022792.1_1786,positive
RS_GCF_000504085.1,NC_022792.1_2021,positive
RS_GCF_000763315.1,NZ_JPST01000003.1_28,positive
RS_GCF_000763315.1,NZ_JPST01000003.1_129,positive
RS_GCF_000763315.1,NZ_JPST01000003.1_167,positive
RS_GCF_000763315.1,NZ_JPST01000004.1_1,positive
RS_GCF_000763315.1,NZ_JPST01000013.1_97,positive
RS_GCF_000763315.1,NZ_JPST01000018.1_28,positive
RS_GCF_000763315.1,NZ_JPST01000019.1_30,positive
RS_GCF_000763315.1,NZ_JPST01000029.1_32,positive
RS_GCF_000763315.1,NZ_JPST01000030.1_39,positive
RS_GCF_000763315.1,NZ_JPST01000036.1_87,positive
RS_GCF_000763315.1,NZ_JPST01000036.1_104,positive
RS_GCF_000763315.1,NZ_JPST01000063.1_4,positive
RS_GCF_001317345.1,NZ_JXCG01000015.1_18,positive
RS_GCF_001317345.1,NZ_JXCG01000019.1_11,positive
RS_GCF_001317345.1,NZ_JXCG01000006.1_38,positive
RS_GCF_001317345.1,NZ_JXCG01000008.1_7,positive
RS_GCF_001317345.1,NZ_JXCG01000008.1_42,positive
RS_GCF_001427125.1,NZ_LMGK01000001.1_298,positive
RS_GCF_001427125.1,NZ_LMGK01000002.1_36,positive
RS_GCF_001427125.1,NZ_LMGK01000002.1_160,positive
RS_GCF_001427125.1,NZ_LMGK01000003.1_21,positive
RS_GCF_001427125.1,NZ_LMGK01000004.1_216,positive
RS_GCF_001427125.1,NZ_LMGK01000005.1_137,positive
RS_GCF_001427125.1,NZ_LMGK01000006.1_36,positive
RS_GCF_001427125.1,NZ_LMGK01000006.1_136,positive
RS_GCF_001427125.1,NZ_LMGK01000007.1_14,positive
RS_GCF_001427125.1,NZ_LMGK01000012.1_290,positive
RS_GCF_001427125.1,NZ_LMGK01000020.1_385,positive
RS_GCF_001427125.1,NZ_LMGK01000023.1_235,positive
RS_GCF_001427125.1,NZ_LMGK01000024.1_310,positive
RS_GCF_001427125.1,NZ_LMGK01000025.1_625,positive
RS_GCF_001647085.1,NZ_CP015520.1_666,positive
RS_GCF_001647085.1,NZ_CP015520.1_667,positive
RS_GCF_001647085.1,NZ_CP015520.1_997,positive
RS_GCF_001647085.1,NZ_CP015520.1_1011,positive
RS_GCF_001647085.1,NZ_CP015520.1_1175,positive
RS_GCF_001647085.1,NZ_CP015520.1_1352,positive
RS_GCF_001647085.1,NZ_CP015520.1_1711,positive
RS_GCF_001647085.1,NZ_CP015520.1_2114,positive
RS_GCF_001647085.1,NZ_CP015520.1_2200,positive
RS_GCF_001719045.1,NZ_CP015423.1_245,positive
RS_GCF_001719045.1,NZ_CP015423.1_513,positive
RS_GCF_001719045.1,NZ_CP015423.1_560,positive
RS_GCF_001719045.1,NZ_CP015423.1_826,positive
RS_GCF_001719045.1,NZ_CP015423.1_1017,positive
RS_GCF_001719045.1,NZ_CP015423.1_1159,positive
RS_GCF_001719045.1,NZ_CP015423.1_1422,positive
RS_GCF_001719045.1,NZ_CP015423.1_1566,positive
RS_GCF_001719045.1,NZ_CP015423.1_1658,positive
RS_GCF_001719045.1,NZ_CP015423.1_2203,positive
