genome_accession,protein_id,category,emb_row,role,is_positive,phylum,length_aa,pfam_family,distance,pvalue,novelty,baseline_distance
GB_GCA_001797815.1,MGQK01000034.1_2,dark_negative,19642,query,False,RBG-13-61-14,707,,0.12790578444464723,4.449164689208213e-06,0.9999955508353108,0.12790578444464723
GB_GCA_003170555.1,PMZC01000336.1_4,dark_negative,22376,query,False,FEN-1099,136,,0.12775288498437948,4.492121416271279e-06,0.9999955078785837,0.12775288498437948
GB_GCA_003142035.1,PLOF01000107.1_12,dark_negative,4892,query,False,Dormibacterota,338,,0.12750305799274494,4.563294600149568e-06,0.9999954367053998,0.12750305799274494
GB_GCA_016713535.1,JADJOY010000023.1_181,dark_negative,6529,query,False,JADJOY01,249,,0.1268743355746123,4.747961142105539e-06,0.9999952520388579,0.1268743355746123
GB_GCA_903888645.1,CAISUK010000422.1_9,dark_negative,21419,query,False,Proteobacteria,72,,0.12588361667181858,5.055855808981348e-06,0.999994944144191,0.12588361667181858
GB_GCA_002327255.1,DCUM01000125.1_2,dark_negative,21670,query,False,KSB1,548,,0.12464137619086299,5.47335384299166e-06,0.999994526646157,0.12464137619086299
GB_GCA_003170555.1,PMZC01000361.1_3,dark_negative,31430,query,False,FEN-1099,215,,0.12435338345326033,5.5754683649985835e-06,0.999994424531635,0.12435338345326033
RS_GCF_000382385.1,NZ_KB908319.1_100,dark_negative,9980,query,False,Bacteroidota,97,,0.12387594062982088,5.74940431211823e-06,0.9999942505956879,0.12387594062982088
GB_GCA_016713535.1,JADJOY010000001.1_420,dark_negative,5995,query,False,JADJOY01,258,,0.1231203620240677,6.036989694525704e-06,0.9999939630103055,0.1231203620240677
GB_GCA_016713535.1,JADJOY010000059.1_11,dark_negative,31168,query,False,JADJOY01,394,,0.12268192185566555,6.21109671698884e-06,0.999993788903283,0.12268192185566555
GB_GCA_003136635.1,PLFD01000024.1_41,dark_negative,15426,query,False,FCPU426,89,,0.12100289775218272,6.9307727282969324e-06,0.9999930692272717,0.12100289775218272
GB_GCA_002069765.1,MWBZ01000083.1_12,dark_negative,6930,query,False,Wallbacteria,58,,0.1195710752780746,7.617293465026332e-06,0.999992382706535,0.1195710752780746
RS_GCF_000318095.2,NZ_KB290724.1_11,dark_negative,33096,query,False,Bacteroidota,53,,0.11943517465504291,7.686243809334801e-06,0.9999923137561907,0.11943517465504291
GB_GCA_002403115.1,DHHE01000196.1_2,dark_negative,15004,query,False,Edwardsbacteria,99,,0.11796986396211866,8.474911398035348e-06,0.999991525088602,0.11796986396211866
GB_GCA_012520995.1,JAAYNI010000096.1_37,dark_negative,14656,query,False,Riflebacteria,165,,0.11792361347306213,8.501212724256035e-06,0.9999914987872758,0.11792361347306213
GB_GCA_000147015.1,CP002161.1_91,dark_negative,13960,query,False,Proteobacteria,94,,0.11788772007011392,8.521686143211964e-06,0.9999914783138568,0.11788772007011392
GB_GCA_016713535.1,JADJOY010000061.1_34,dark_negative,24930,query,False,JADJOY01,341,,0.11767415800791436,8.644627710068188e-06,0.9999913553722899,0.11767415800791436
GB_GCA_016713535.1,JADJOY010000007.1_79,dark_negative,11892,query,False,JADJOY01,62,,0.11756032762569779,8.710952580957636e-06,0.9999912890474191,0.11756032762569779
GB_GCA_017613855.1,JAGACY010000384.1_1,dark_negative,5177,query,False,Myxococcota,83,,0.11750382731979006,8.744080954707034e-06,0.9999912559190453,0.11750382731979006
RS_GCF_000212395.1,NC_015499.1_819,dark_negative,23594,query,False,Thermodesulfobiota,76,,0.11701592278120154,9.035993293772473e-06,0.9999909640067062,0.11701592278120154
GB_GCA_008080745.1,SHMX01000018.1_3,dark_negative,7643,query,False,Asgardarchaeota,512,,0.116294748039661,9.487291504147114e-06,0.9999905127084958,0.116294748039661
GB_GCA_003151665.1,PLYD01000288.1_4,dark_negative,33719,query,False,Dormibacterota,86,,0.11602020783312146,9.665561499764947e-06,0.9999903344385003,0.11602020783312146
GB_GCA_003162055.1,PMNA01000022.1_93,dark_negative,27786,query,False,Actinobacteriota,182,,0.11590976321683158,9.738314092740636e-06,0.9999902616859072,0.11590976321683158
RS_GCF_001542625.1,NZ_CP016279.1_5927,dark_negative,21217,query,False,Actinobacteriota,491,,0.11530986482008491,1.0144151772286131e-05,0.9999898558482277,0.11530986482008491
GB_GCA_015662355.1,DQUI01000010.1_1,dark_negative,29861,query,False,Methanobacteriota_A,69,,0.11488770606623275,1.0440889200171553e-05,0.9999895591107998,0.11488770606623275
RS_GCF_001005295.1,NZ_LBMK01000004.1_361,dark_negative,23717,query,False,Actinobacteriota,71,,0.1146502134251675,1.061201080600511e-05,0.999989387989194,0.1146502134251675
GB_GCA_000739515.1,DF820456.1_950,dark_negative,31478,query,False,Moduliflexota,110,,0.11422945935858601,1.0922802628502996e-05,0.9999890771973715,0.11422945935858601
GB_GCA_007125075.1,SLDX01000028.1_20,dark_negative,8444,query,False,Desulfobacterota_I,97,,0.11418858459232269,1.0953524412795352e-05,0.9999890464755872,0.11418858459232269
GB_GCA_002364485.1,DEYK01000070.1_27,dark_negative,25819,query,False,Planctomycetota,58,,0.11397316376751847,1.1117014601093635e-05,0.9999888829853989,0.11397316376751847
GB_GCA_016713535.1,JADJOY010000032.1_86,dark_negative,17522,query,False,JADJOY01,195,,0.11371588975301805,1.131579452004421e-05,0.9999886842054799,0.11371588975301805
GB_GCA_011773515.1,WVXK01000041.1_1,dark_negative,20537,query,False,Desulfobacterota_E,132,,0.11369306776879484,1.1333615550825067e-05,0.9999886663844492,0.11369306776879484
GB_GCA_001797815.1,MGQK01000066.1_7,dark_negative,27505,query,False,RBG-13-61-14,103,,0.11365009707599347,1.1367253963390887e-05,0.9999886327460366,0.11365009707599347
GB_GCA_013285685.1,JABDHD010000108.1_6,positive,2009,query,True,Bacteroidota,351,,0.1135383446705733,1.145525147544166e-05,0.9999885447485246,0.1135383446705733
GB_GCA_014649295.1,BMST01000002.1_608,dark_negative,15225,query,False,Actinobacteriota,55,,0.11345017523453689,1.1525207786491185e-05,0.9999884747922135,0.11345017523453689
GB_GCA_016840385.1,JAEOSL010000156.1_7,dark_negative,11692,query,False,Asgardarchaeota,50,,0.11297990592796373,1.1906359764869831e-05,0.9999880936402351,0.11297990592796373
GB_GCA_000739515.1,DF820455.1_247,dark_negative,15021,query,False,Moduliflexota,163,,0.11296039869682224,1.192246701776808e-05,0.9999880775329822,0.11296039869682224
GB_GCA_005777235.1,SXND01000043.1_22,dark_negative,33764,query,False,Tectomicrobia,115,,0.11284162851588611,1.2021055015565173e-05,0.9999879789449845,0.11284162851588611
GB_GCA_002327255.1,DCUM01000151.1_7,dark_negative,13733,query,False,KSB1,336,,0.11270165503060489,1.2138395945969584e-05,0.9999878616040541,0.11270165503060489
RS_GCF_000763315.1,NZ_JPST01000028.1_38,dark_negative,32519,query,False,Firmicutes,92,,0.11256695145387652,1.2252509536827884e-05,0.9999877474904632,0.11256695145387652
GB_GCA_003135055.1,PLDF01000208.1_2,dark_negative,23731,query,False,Acidobacteriota,366,,0.11234426945310869,1.244374992184658e-05,0.9999875562500782,0.11234426945310869
GB_GCA_002068205.1,MVZB01000207.1_1,dark_negative,29252,query,False,Sumerlaeota,53,,0.112156951270039,1.2607163394248423e-05,0.9999873928366058,0.112156951270039
GB_GCA_016193065.1,JACPSX010000019.1_1,dark_negative,15181,query,False,JACPSX01,143,,0.11098110395018965,1.3688461022756885e-05,0.9999863115389772,0.11098110395018965
GB_GCA_003133265.1,PKWQ01000466.1_8,dark_negative,26458,query,False,Proteobacteria,80,,0.1108081138137419,1.3855976214999817e-05,0.999986144023785,0.1108081138137419
GB_GCA_000496215.1,KI543214.1_256,dark_negative,12557,query,False,Halobacteriota,87,,0.11071481465576243,1.3947257508492118e-05,0.9999860527424915,0.11071481465576243
GB_GCA_000739515.1,DF820458.1_623,dark_negative,13988,query,False,Moduliflexota,165,,0.11066791315754439,1.3993394267696448e-05,0.9999860066057323,0.11066791315754439
GB_GCA_001797815.1,MGQK01000066.1_63,dark_negative,19339,query,False,RBG-13-61-14,303,,0.11048425516936917,1.4175679993301981e-05,0.9999858243200067,0.11048425516936917
GB_GCA_001797815.1,MGQK01000100.1_7,dark_negative,15924,query,False,RBG-13-61-14,272,,0.11043759847592509,1.4222403002864868e-05,0.9999857775969971,0.11043759847592509
GB_GCA_003142035.1,PLOF01000087.1_28,dark_negative,11886,query,False,Dormibacterota,231,,0.11018527305134951,1.4478040035012924e-05,0.999985521959965,0.11018527305134951
GB_GCA_002428445.1,DIWJ01000012.1_10,dark_negative,26811,query,False,Desulfobacterota,113,,0.10981883544693316,1.4858330838691079e-05,0.9999851416691613,0.10981883544693316
RS_GCF_002224125.1,NZ_NCSM01000022.1_257,dark_negative,25966,query,False,Actinobacteriota,200,,0.10946614645305172,1.5234751952563459e-05,0.9999847652480475,0.10946614645305172
GB_GCA_018061025.1,JAGOUY010000001.1_89,dark_negative,22780,query,False,Patescibacteria,315,,0.10904095267116305,1.570256498753347e-05,0.9999842974350125,0.10904095267116305
GB_GCA_002478245.1,DLMW01000053.1_11,dark_negative,15750,query,False,UBP18,123,,0.1085026235607468,1.6317661215547775e-05,0.9999836823387844,0.1085026235607468
GB_GCA_003136635.1,PLFD01000026.1_31,dark_negative,20919,query,False,FCPU426,58,,0.10797848481811534,1.6942093557024332e-05,0.9999830579064429,0.10797848481811534
GB_GCA_001774505.1,MFAF01000100.1_11,dark_negative,21055,query,False,RBG-13-66-14,523,,0.10780139450836734,1.7158972786368884e-05,0.9999828410272136,0.10780139450836734
RS_GCF_005217565.1,NZ_SJCO01000101.1_2,dark_negative,8055,query,False,Bacteroidota,137,,0.10756605483430462,1.74519281021521e-05,0.9999825480718979,0.10756605483430462
GB_GCA_007132505.1,SLOM01000069.1_35,dark_negative,18090,query,False,Sumerlaeota,57,,0.10735912161170606,1.7714071532471366e-05,0.9999822859284675,0.10735912161170606
RS_GCF_002224125.1,NZ_NCSM01000107.1_2,dark_negative,29624,query,False,Actinobacteriota,244,,0.10653251730283793,1.8805269211439085e-05,0.9999811947307886,0.10653251730283793
GB_GCA_001797815.1,MGQK01000122.1_22,dark_negative,25553,query,False,RBG-13-61-14,112,,0.10623212903495653,1.9219954621069226e-05,0.9999807800453789,0.10623212903495653
RS_GCF_005217565.1,NZ_SJCO01000266.1_1,dark_negative,26016,query,False,Bacteroidota,154,,0.1060486051506373,1.9478252251824245e-05,0.9999805217477482,0.1060486051506373
GB_GCA_001774505.1,MFAF01000025.1_7,dark_negative,13790,query,False,RBG-13-66-14,175,,0.10578271865314874,1.9859267494989677e-05,0.999980140732505,0.10578271865314874
GB_GCA_001462235.1,LIUI01000071.1_17,dark_negative,31688,query,False,Fibrobacterota,189,,0.10505594263957548,2.0943217087182963e-05,0.9999790567829128,0.10505594263957548
GB_GCA_002697225.1,NZUQ01000017.1_11,dark_negative,10981,query,False,Poribacteria,85,,0.10489116631736414,2.1197920233818448e-05,0.9999788020797662,0.10489116631736414
GB_GCA_001641225.1,LSMY01000002.1_111,dark_negative,26307,query,False,Firmicutes,81,,0.10488202904949022,2.12121435346798e-05,0.9999787878564653,0.10488202904949022
GB_GCA_003142035.1,PLOF01000005.1_1,dark_negative,19747,query,False,Dormibacterota,242,,0.10484732698049892,2.1266257354097542e-05,0.9999787337426459,0.10484732698049892
GB_GCA_003133265.1,PKWQ01000472.1_1,dark_negative,15045,query,False,Proteobacteria,86,,0.10446413489021625,2.18740022246491e-05,0.9999781259977754,0.10446413489021625
GB_GCA_003136635.1,PLFD01000057.1_103,dark_negative,21098,query,False,FCPU426,159,,0.10352241808679333,2.345032670407101e-05,0.999976549673296,0.10352241808679333
GB_GCA_903837445.1,CAILUR010000268.1_1,dark_negative,8684,query,False,Goldbacteria,51,,0.10311597946597592,2.416890949733009e-05,0.9999758310905027,0.10311597946597592
RS_GCF_900129375.1,NZ_FQVN01000002.1_449,dark_negative,5267,query,False,Actinobacteriota,91,,0.10286349341033348,2.462748034870248e-05,0.9999753725196513,0.10286349341033348
GB_GCA_001797815.1,MGQK01000132.1_10,dark_negative,29182,query,False,RBG-13-61-14,183,,0.10261497635535462,2.5088203999615958e-05,0.9999749117960004,0.10261497635535462
GB_GCA_000147015.1,CP002161.1_151,dark_negative,14785,query,False,Proteobacteria,99,,0.10249313913102351,2.531753318837913e-05,0.9999746824668116,0.10249313913102351
GB_GCA_001303705.1,LJUI01000005.1_4,dark_negative,8974,query,False,TA06,100,,0.1019149861070598,2.643765841299e-05,0.999973562341587,0.1019149861070598
RS_GCF_005217565.1,NZ_SJCO01000253.1_1,dark_negative,13636,query,False,Bacteroidota,80,,0.10186494596744018,2.653714055862444e-05,0.9999734628594413,0.10186494596744018
GB_GCA_009692585.1,SHYX01000044.1_32,dark_negative,21464,query,False,Myxococcota_A,137,,0.10169301713360743,2.6882093211488903e-05,0.9999731179067886,0.10169301713360743
GB_GCA_000739515.1,DF820462.1_146,dark_negative,28987,query,False,Moduliflexota,130,,0.10119177490501899,2.7916235984963038e-05,0.999972083764015,0.10119177490501899
GB_GCA_002084765.1,NBMB01000020.1_56,dark_negative,4217,query,False,4572-55,86,,0.10074651321629664,2.8871657274309434e-05,0.9999711283427257,0.10074651321629664
GB_GCA_003447545.1,DLYX01000357.1_5,dark_negative,7915,query,False,Desulfobacterota_B,150,,0.09986713372419838,3.086602279058444e-05,0.9999691339772094,0.09986713372419838
RS_GCF_002368095.1,NZ_AP018227.1_4760,dark_negative,23991,query,False,Cyanobacteria,84,,0.0997688475320562,3.10981809360814e-05,0.999968901819064,0.0997688475320562
RS_GCF_018131225.1,NZ_JAFCMM010000007.1_59,dark_negative,6176,query,False,Proteobacteria,53,,0.09873265831896183,3.3666095206408206e-05,0.9999663339047936,0.09873265831896183
RS_GCF_001647085.1,NZ_CP015520.1_1139,dark_negative,9941,query,False,Methanobacteriota_B,116,,0.09857532351726683,3.4076011446928566e-05,0.9999659239885531,0.09857532351726683
GB_GCA_016713535.1,JADJOY010000007.1_85,dark_negative,22684,query,False,JADJOY01,316,,0.09850017909141309,3.427372529558103e-05,0.9999657262747044,0.09850017909141309
GB_GCA_014649295.1,BMST01000012.1_34,dark_negative,18400,query,False,Actinobacteriota,287,,0.09849483827457077,3.4287825562071476e-05,0.999965712174438,0.09849483827457077
GB_GCA_000496215.1,KI543197.1_94,dark_negative,10788,query,False,Halobacteriota,85,,0.09822288520392235,3.5014311139494195e-05,0.9999649856888605,0.09822288520392235
GB_GCA_001567115.1,LMZT01000101.1_20,dark_negative,25302,query,False,OLB16,222,,0.09791101964704411,3.5868325868557896e-05,0.9999641316741315,0.09791101964704411
GB_GCA_003647825.1,QMNP01000157.1_2,dark_negative,16547,query,False,Cloacimonadota,189,,0.09746511670423456,3.712944785180068e-05,0.9999628705521482,0.09746511670423456
RS_GCF_018614775.1,NZ_JAGGOF010000038.1_13,dark_negative,32308,query,False,Proteobacteria,161,,0.09741559170258822,3.727249895469637e-05,0.9999627275010453,0.09741559170258822
GB_GCA_013811975.1,JACCUF010000319.1_1,dark_negative,24498,query,False,Actinobacteriota,240,,0.09732268876169443,3.754248349210465e-05,0.9999624575165079,0.09732268876169443
